抓取日期,發行機構代碼,發行機構名稱,債券名稱,掛牌日期,發行資料
2026-09-04,6664,群翊工業股份有限公司,群翊工業股份有限公司國內第二次無擔保轉換公司債,113/11/19,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=66642&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=6664&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,8422,可寧衛股份有限公司,可寧衛股份有限公司國內第一次無擔保轉換公司債,111/11/22,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=84221&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=8422&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,8050,廣積科技股份有限公司,廣積科技股份有限公司國內第六次無擔保轉換公司債,111/11/22,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=80506&bond_kind=5&bond_subn=%24M00000001&bond_yrn=6&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=8050&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,3591,艾笛森光電股份有限公司,艾笛森光電股份有限公司國內第四次無擔保轉換公司債,113/11/22,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=35914&bond_kind=5&bond_subn=%24M00000001&bond_yrn=4&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=3591&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,3346,麗清科技股份有限公司,麗清科技股份有限公司國內第六次無擔保轉換公司債,113/11/27,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=33466&bond_kind=5&bond_subn=%24M00000001&bond_yrn=6&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=3346&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,3313,斐成開發科技股份有限公司,斐成開發科技股份有限公司國內第三次有擔保轉換公司債,113/11/29,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=33133&bond_kind=5&bond_subn=%24M00000001&bond_yrn=3&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=3313&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,2442,新美齊股份有限公司,新美齊股份有限公司國內第三次無擔保轉換公司債,113/11/29,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=24423&bond_kind=5&bond_subn=%24M00000001&bond_yrn=3&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=2442&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,6645,金萬林企業股份有限公司,金萬林企業股份有限公司國內第一次有擔保轉換公司債,113/12/04,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=66451&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=6645&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,8489,三貝德數位文創股份有限公司,三貝德數位文創股份有限公司國內第一次有擔保轉換公司債,113/12/09,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=84891&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=8489&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,4979,華星光通科技股份有限公司,華星光通科技股份有限公司國內第三次無擔保轉換公司債,113/12/09,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=49793&bond_kind=5&bond_subn=%24M00000001&bond_yrn=3&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=4979&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,5608,四維航業股份有限公司,四維航業股份有限公司國內第七次有擔保轉換公司債,113/12/17,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=56087&bond_kind=5&bond_subn=%24M00000001&bond_yrn=7&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=5608&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,5245,智晶光電股份有限公司,智晶光電股份有限公司國內第二次無擔保轉換公司債,113/12/18,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=52452&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=5245&monyr_reg=202608&pg=&step=0&tg=
