資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2020-04-28,12582,其祥二KY,等價,87.50,+0.20,87.40,87.50,87.40,2,2,"174,900",87.45,87.50,96.25,78.75
2020-04-28,12582,其祥二KY,議價,,,,,,,,,,,,
2020-04-28,13163,上曜三,等價,,,,,,,,,106.00,106.00,116.60,95.40
2020-04-28,13163,上曜三,議價,,,,,,,,,,,,
2020-04-28,14361,華友聯一,等價,107.30,+0.05,107.30,107.30,107.30,1,3,"321,900",107.30,107.30,118.00,96.60
2020-04-28,14361,華友聯一,議價,,,,,,,,,,,,
2020-04-28,14423,名軒三,等價,138.00,+3.00,138.00,138.00,138.00,1,1,"138,000",138.00,138.00,151.00,124.20
2020-04-28,14423,名軒三,議價,,,,,,,,,,,,
2020-04-28,14721,三洋紡一,等價,,,,,,,,,100.67,99.90,109.85,89.95
2020-04-28,14721,三洋紡一,議價,,,,,,,,,,,,
2020-04-28,15131,中興電一,等價,106.50,-0.30,106.50,106.50,106.50,5,24,"2,556,000",106.50,106.50,117.15,95.85
2020-04-28,15131,中興電一,議價,,,,,,,,,,,,
2020-04-28,15302,亞崴二,等價,,,,,,,,,98.35,99.50,109.45,89.55
2020-04-28,15302,亞崴二,議價,,,,,,,,,,,,
2020-04-28,15696,濱川六,等價,,,,,,,,,108.90,108.50,119.35,97.65
2020-04-28,15696,濱川六,議價,,,,,,,,,,,,
2020-04-28,15892,永冠二KY,等價,,,,,,,,,101.00,101.75,111.90,91.60
2020-04-28,15892,永冠二KY,議價,,,,,,,,,,,,
2020-04-28,15921,英瑞一KY,等價,,,,,,,,,87.00,87.00,95.70,78.30
2020-04-28,15921,英瑞一KY,議價,,,,,,,,,,,,
2020-04-28,15981,岱宇一,等價,104.55,-0.40,104.55,104.55,104.55,1,5,"522,750",104.55,104.55,115.00,94.10
2020-04-28,15981,岱宇一,議價,,,,,,,,,,,,
2020-04-28,16262,艾美特二KY,等價,102.00,-0.50,102.00,102.00,102.00,1,5,"510,000",102.00,102.00,112.20,91.80
2020-04-28,16262,艾美特二KY,議價,,,,,,,,,,,,
