資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2020-06-22,12582,其祥二KY,等價,90.40,-0.25,90.40,90.40,90.30,3,3,"271,100",90.36,90.40,99.40,81.40
2020-06-22,12582,其祥二KY,議價,,,,,,,,,,,,
2020-06-22,13163,上曜三,等價,106.00,-0.10,106.05,106.05,106.00,3,11,"1,166,050",106.00,106.00,116.60,95.40
2020-06-22,13163,上曜三,議價,,,,,,,,,,,,
2020-06-22,14361,華友聯一,等價,111.75,+0.75,111.00,111.80,111.00,13,34,"3,793,000",111.55,111.75,122.90,100.60
2020-06-22,14361,華友聯一,議價,,,,,,,,,,,,
2020-06-22,14423,名軒三,等價,152.00,+2.00,150.00,152.00,150.00,15,21,"3,172,000",151.04,152.00,167.00,136.80
2020-06-22,14423,名軒三,議價,,,,,,,,,,,,
2020-06-22,14721,三洋紡一,等價,,,,,,,,,101.50,101.40,111.50,91.30
2020-06-22,14721,三洋紡一,議價,,,,,,,,,,,,
2020-06-22,15131,中興電一,等價,111.00,,110.20,111.30,110.20,6,6,"663,650",110.60,111.00,122.10,99.90
2020-06-22,15131,中興電一,議價,,,,,,,,,,,,
2020-06-22,15696,濱川六,等價,114.80,+2.80,113.95,114.80,112.05,40,102,"11,614,850",113.87,114.80,126.25,103.35
2020-06-22,15696,濱川六,議價,,,,,,,,,,,,
2020-06-22,15892,永冠二KY,等價,,,,,,,,,98.00,101.05,111.15,90.95
2020-06-22,15892,永冠二KY,議價,,,,,,,,,,,,
2020-06-22,15921,英瑞一KY,等價,92.05,+0.05,92.40,92.60,92.05,9,12,"1,109,150",92.42,92.05,101.25,82.85
2020-06-22,15921,英瑞一KY,議價,,,,,,,,,,,,
2020-06-22,15981,岱宇一,等價,132.90,-0.10,135.00,135.00,131.70,19,31,"4,124,700",133.05,132.90,146.15,119.65
2020-06-22,15981,岱宇一,議價,,,,,,,,,,,,
2020-06-22,16262,艾美特二KY,等價,103.35,-0.20,103.00,103.40,103.00,9,19,"1,962,450",103.28,103.35,113.65,93.05
2020-06-22,16262,艾美特二KY,議價,,,,,,,,,,,,
2020-06-22,16263,艾美特三KY,等價,108.00,-0.45,107.00,108.00,107.00,9,83,"8,929,000",107.57,108.00,118.80,97.20
2020-06-22,16263,艾美特三KY,議價,,,,,,,,,,,,
2020-06-22,17333,五鼎三,等價,106.00,-0.90,106.35,106.35,106.00,7,21,"2,228,900",106.13,106.00,116.60,95.40
2020-06-22,17333,五鼎三,議價,,,,,,,,,,,,
2020-06-22,17861,科妍一,等價,104.40,,104.50,104.50,104.00,5,17,"1,773,400",104.31,104.40,114.80,94.00
2020-06-22,17861,科妍一,議價,,,,,,,,,,,,
