資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2020-10-14,12582,其祥二KY,等價,96.30,+0.05,96.30,96.30,96.30,1,1,"96,300",96.30,96.30,105.90,86.70
2020-10-14,12582,其祥二KY,議價,,,,,,,,,,,,
2020-10-14,13163,上曜三,等價,,,,,,,,,105.05,105.60,116.15,95.05
2020-10-14,13163,上曜三,議價,,,,,,,,,,,,
2020-10-14,14361,華友聯一,等價,116.00,-0.50,116.50,116.50,116.00,2,7,"812,500",116.07,116.00,127.60,104.40
2020-10-14,14361,華友聯一,議價,,,,,,,,,,,,
2020-10-14,14423,名軒三,等價,,,,,,,,,188.00,188.00,206.00,170.00
2020-10-14,14423,名軒三,議價,,,,,,,,,,,,
2020-10-14,14721,三洋紡一,等價,,,,,,,,,101.88,101.75,111.90,91.60
2020-10-14,14721,三洋紡一,議價,,,,,,,,,,,,
2020-10-14,15131,中興電一,等價,190.00,+8.00,182.00,196.00,182.00,65,233,"44,518,000",191.06,190.00,209.00,171.00
2020-10-14,15131,中興電一,議價,,,,,,,,,,,,
2020-10-14,15696,濱川六,等價,,,,,,,,,119.45,120.00,132.00,108.00
2020-10-14,15696,濱川六,議價,,,,,,,,,,,,
2020-10-14,15862,和勤二,等價,114.00,,114.00,114.00,114.00,1,1,"114,000",114.00,114.00,125.40,102.60
2020-10-14,15862,和勤二,議價,,,,,,,,,,,,
2020-10-14,15863,和勤三,等價,,,,,,,,,101.71,101.50,111.65,91.35
2020-10-14,15863,和勤三,議價,,,,,,,,,,,,
2020-10-14,15893,永冠三KY,等價,112.30,+1.30,109.00,112.30,109.00,47,280,"31,158,300",111.27,112.30,123.50,101.10
2020-10-14,15893,永冠三KY,議價,,,,,,,,,,,,
2020-10-14,15921,英瑞一KY,等價,94.30,+0.20,93.80,94.30,93.80,3,11,"1,036,800",94.25,94.30,103.70,84.90
2020-10-14,15921,英瑞一KY,議價,,,,,,,,,,,,
2020-10-14,15982,岱宇二,等價,148.80,+0.10,147.50,148.80,147.00,6,8,"1,179,800",147.47,148.80,163.00,133.95
2020-10-14,15982,岱宇二,議價,,,,,,,,,,,,
2020-10-14,16263,艾美特三KY,等價,105.05,,105.10,105.10,105.05,2,2,"210,150",105.07,105.05,115.55,94.55
2020-10-14,16263,艾美特三KY,議價,,,,,,,,,,,,
2020-10-14,17333,五鼎三,等價,,,,,,,,,102.86,102.60,112.85,92.35
2020-10-14,17333,五鼎三,議價,,,,,,,,,,,,
2020-10-14,17861,科妍一,等價,110.00,-0.30,107.50,110.00,107.50,4,46,"4,970,000",108.04,110.00,121.00,99.00
2020-10-14,17861,科妍一,議價,,,,,,,,,,,,
2020-10-14,17881,杏昌一,等價,116.50,+1.00,116.00,116.50,116.00,14,24,"2,791,000",116.29,116.50,128.15,104.85
2020-10-14,17881,杏昌一,議價,,,,,,,,,,,,
2020-10-14,17961,金穎生技一,等價,96.00,,96.00,96.00,96.00,8,25,"2,400,000",96.00,96.00,105.60,86.40
2020-10-14,17961,金穎生技一,議價,,,,,,,,,,,,
