TITLE,轉(交)換公司債停止轉(交)換資訊
DATADATE,日期:115年08月04日
ALIGN,C,L,C,C,R
HEADER,債券代碼,債券簡稱,停止轉(交)換起日,停止轉(交)換迄日,停止轉(交)換事由
BODY,"14743 ","弘裕三    ","2026/07/16","2026/08/10","配股配息  "
BODY,"15142 ","亞力二    ","2026/07/13","2026/08/05","配股配息  "
BODY,"22013 ","裕隆三    ","2026/08/06","2026/08/31","配股配息  "
BODY,"22331 ","宇隆一    ","2026/07/13","2026/08/05","配股配息  "
BODY,"23511 ","順德一    ","2026/07/16","2026/08/10","配股配息  "
BODY,"23742 ","佳能二    ","2026/07/31","2026/08/25","配股配息  "
BODY,"24023 ","毅嘉三    ","2026/07/10","2026/08/04","配股配息  "
BODY,"24271 ","三商電一  ","2026/07/17","2026/08/11","配股配息  "
BODY,"24394 ","美律四    ","2026/08/10","2026/09/03","配股配息  "
BODY,"24395 ","美律五    ","2026/08/10","2026/09/03","配股配息  "
BODY,"24762 ","鉅祥二    ","2026/07/27","2026/08/19","配股配息  "
BODY,"27531 ","八方雲集一","2026/08/07","2026/09/01","配股配息  "
BODY,"27532 ","八方雲集二","2026/08/07","2026/09/01","配股配息  "
BODY,"30165 ","嘉晶五    ","2026/08/10","2026/09/02","現金增資  "
BODY,"30336 ","威健六    ","2026/07/20","2026/08/12","配股配息  "
BODY,"30337 ","威健七    ","2026/07/20","2026/08/12","配股配息  "
BODY,"30401 ","遠見一    ","2026/07/23","2026/08/21","股東臨時會"
BODY,"31311 ","弘塑一    ","2026/07/10","2026/08/04","配股配息  "
BODY,"31312 ","弘塑二    ","2026/07/10","2026/08/04","配股配息  "
BODY,"33763 ","新日興三  ","2026/07/20","2026/08/12","配股配息  "
BODY,"33902 ","旭軟二    ","2026/07/23","2026/08/17","配股配息  "
BODY,"34834 ","力致四    ","2026/07/16","2026/08/10","配股配息  "
BODY,"35161 ","亞帝歐一  ","2026/07/20","2026/08/14","配股配息  "
BODY,"35914 ","艾笛森四  ","2026/07/31","2026/10/08","其他      "
BODY,"36053 ","宏致三    ","2026/07/24","2026/08/18","配股配息  "
BODY,"36894 ","湧德四    ","2026/07/15","2026/08/09","配股配息  "
BODY,"41236 ","晟德六    ","2026/07/29","2026/08/23","配股配息  "
BODY,"41237 ","晟德七    ","2026/07/29","2026/08/23","配股配息  "
BODY,"41238 ","晟德八    ","2026/07/29","2026/08/23","配股配息  "
BODY,"41239 ","晟德九    ","2026/07/29","2026/08/23","配股配息  "
BODY,"41903 ","佐登三KY  ","2026/07/16","2026/08/10","配股配息  "
BODY,"44383 ","廣越三    ","2026/08/14","2026/09/08","配股配息  "
BODY,"45491 ","桓達一    ","2026/07/10","2026/08/04","配股配息  "
BODY,"45691 ","六方科一KY","2026/07/24","2026/08/18","配股配息  "
BODY,"45811 ","光隆精密一KY","2026/07/24","2026/08/18","配股配息  "
BODY,"52844 ","jpp四KY   ","2026/08/06","2026/08/31","現金增資  "
BODY,"52845 ","jpp五KY   ","2026/08/06","2026/08/31","現金增資  "
BODY,"54501 ","南良一    ","2026/07/16","2026/08/10","配股配息  "
BODY,"54573 ","宣德三    ","2026/07/13","2026/08/05","配股配息  "
BODY,"55344 ","長虹四    ","2026/08/06","2026/08/31","配股配息  "
BODY,"61171 ","迎廣一    ","2026/07/27","2026/08/19","配股配息  "
BODY,"61172 ","迎廣二    ","2026/07/27","2026/08/19","配股配息  "
BODY,"61777 ","達麗七    ","2026/08/03","2026/08/26","配股配息  "
BODY,"61793 ","亞通三    ","2026/07/28","2026/08/22","配股配息  "
BODY,"61794 ","亞通四    ","2026/07/28","2026/08/22","配股配息  "
BODY,"62093 ","今國光三  ","2026/07/16","2026/08/10","配股配息  "
BODY,"62822 ","康舒二    ","2026/07/29","2026/08/23","配股配息  "
BODY,"64324 ","今展科四  ","2026/07/30","2026/08/24","配股配息  "
BODY,"64693 ","大樹三    ","2026/07/16","2026/08/10","配股配息  "
BODY,"64724 ","保瑞四    ","2026/07/14","2026/08/08","配股配息  "
BODY,"64725 ","保瑞五    ","2026/07/14","2026/08/08","配股配息  "
BODY,"65096 ","聚和六    ","2026/07/13","2026/08/05","配股配息  "
BODY,"66241 ","萬年清一  ","2026/08/10","2026/09/03","配股配息  "
BODY,"66801 ","鑫創電子一","2026/07/22","2026/08/16","配股配息  "
BODY,"68731 ","泓德能源一","2026/08/06","2026/08/31","配股配息  "
BODY,"68732 ","泓德能源二","2026/08/06","2026/08/31","配股配息  "
BODY,"69571 ","裕慶一KY  ","2026/07/15","2026/08/09","配股配息  "
BODY,"80914 ","翔名四    ","2026/05/28","2027/06/22","配股配息  "
BODY,"84041 ","百和興業一KY","2026/07/16","2026/08/10","其他      "
BODY,"84422 ","威宏二KY  ","2026/08/07","2026/09/01","配股配息  "
BODY,"84672 ","波力二KY  ","2026/07/14","2026/08/08","配股配息  "
BODY,"84673 ","波力三KY  ","2026/07/14","2026/08/08","配股配息  "
BODY,"84781 ","東哥遊艇一","2026/07/22","2026/08/16","配股配息  "
BODY,"89277 ","北基七    ","2026/07/22","2026/08/16","配股配息  "
BODY,"89278 ","北基八    ","2026/07/22","2026/08/16","配股配息  "
BODY,"99587 ","世紀鋼七  ","2026/08/05","2026/08/30","現金增資  "
BODY,"99588 ","世紀鋼八永","2026/08/05","2026/08/30","現金增資  "

