資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2014-11-26,12172,愛之二,等價,,,,,,,,,102.00,109.10,116.70,101.50
2014-11-26,12172,愛之二,議價,,,,,,,,,,,,
2014-11-26,12173,愛之三,等價,,,,,,,,,102.30,102.30,109.45,95.15
2014-11-26,12173,愛之三,議價,,,,,,,,,,,,
2014-11-26,12181,泰山一,等價,102.05,-1.45,103.50,103.50,102.05,2,6,"619,550",103.25,102.05,109.15,94.95
2014-11-26,12181,泰山一,議價,,,,,,,,,,,,
2014-11-26,12251,福脂一,等價,,,,,,,,,196.00,204.00,218.00,190.00
2014-11-26,12251,福脂一,議價,,,,,,,,,,,,
2014-11-26,13191,東陽一,等價,100.50,,100.50,100.50,100.50,2,15,"1,507,500",100.50,100.50,107.50,93.50
2014-11-26,13191,東陽一,議價,,,,,,,,,,,,
2014-11-26,13361,台翰一,等價,,,,,,,,,109.00,108.00,115.55,100.45
2014-11-26,13361,台翰一,議價,,,,,,,,,,,,
2014-11-26,13371,再生一,等價,99.50,+0.10,99.50,99.50,99.50,2,3,"298,500",99.50,99.50,106.45,92.55
2014-11-26,13371,再生一,議價,,,,,,,,,,,,
2014-11-26,14422,名軒二,等價,134.00,+6.00,136.90,136.90,134.00,4,4,"541,700",135.42,134.00,143.35,124.65
2014-11-26,14422,名軒二,議價,,,,,,,,,,,,
2014-11-26,14662,聚隆二,等價,,,,,,,,,109.00,109.00,116.60,101.40
2014-11-26,14662,聚隆二,議價,,,,,,,,,,,,
2014-11-26,14663,聚隆三,等價,,,,,,,,,105.91,104.00,111.25,96.75
2014-11-26,14663,聚隆三,議價,,,,,,,,,,,,
2014-11-26,14774,聚陽四,等價,,,,,,,,,203.00,203.00,217.00,189.00
2014-11-26,14774,聚陽四,議價,,,,,,,,,,,,
2014-11-26,15243,耿鼎三,等價,104.00,+0.50,104.00,104.00,104.00,2,5,"520,000",104.00,104.00,111.25,96.75
2014-11-26,15243,耿鼎三,議價,,,,,,,,,,,,
2014-11-26,15661,捷邦一,等價,,,,,,,,,98.90,98.50,105.35,91.65
2014-11-26,15661,捷邦一,議價,,,,,,,,,,,,
2014-11-26,15694,濱川四,等價,102.55,,102.55,102.55,102.55,4,29,"2,973,950",102.53,102.55,109.70,95.40
2014-11-26,15694,濱川四,議價,102.50,-0.05,,102.50,102.50,1,11,"1,127,500",,,,
2014-11-26,15842,精剛二,等價,,,,,,,,,102.50,101.00,108.05,93.95
2014-11-26,15842,精剛二,議價,,,,,,,,,,,,
2014-11-26,15891,永冠一,等價,104.00,+1.00,103.80,104.00,103.50,11,97,"10,083,500",103.95,104.00,111.25,96.75
2014-11-26,15891,永冠一,議價,,,,,,,,,,,,
2014-11-26,16111,中電一,等價,,,,,,,,,98.00,98.05,104.90,91.20
2014-11-26,16111,中電一,議價,,,,,,,,,,,,
2014-11-26,16112,中電二,等價,,,,,,,,,98.96,99.00,105.90,92.10
2014-11-26,16112,中電二,議價,,,,,,,,,,,,
2014-11-26,16172,榮星二,等價,,,,,,,,,106.00,106.00,113.40,98.60
2014-11-26,16172,榮星二,議價,,,,,,,,,,,,
2014-11-26,16261,艾美一,等價,90.10,+0.35,90.30,90.30,90.10,2,2,"180,400",90.20,90.10,96.40,83.80
2014-11-26,16261,艾美一,議價,,,,,,,,,,,,
2014-11-26,17043,榮化三,等價,95.30,+0.10,95.20,95.50,95.20,26,94,"8,962,350",95.34,95.30,101.95,88.65
2014-11-26,17043,榮化三,議價,,,,,,,,,,,,
2014-11-26,17091,和益一,等價,99.25,,99.25,99.25,99.25,1,10,"992,500",99.25,99.25,106.15,92.35
2014-11-26,17091,和益一,議價,,,,,,,,,,,,
2014-11-26,17121,興農一,等價,106.50,,106.40,106.70,106.00,10,52,"5,532,600",106.39,106.50,113.95,99.05
2014-11-26,17121,興農一,議價,,,,,,,,,,,,
2014-11-26,17151,萬洲一,等價,,,,,,,,,159.00,162.00,173.00,151.00
2014-11-26,17151,萬洲一,議價,,,,,,,,,,,,
2014-11-26,17152,萬洲二,等價,,,,,,,,,111.20,109.60,117.25,101.95
2014-11-26,17152,萬洲二,議價,,,,,,,,,,,,
2014-11-26,17292,必翔二,等價,,,,,,,,,100.15,100.15,107.15,93.15
2014-11-26,17292,必翔二,議價,,,,,,,,,,,,
2014-11-26,17331,五鼎一,等價,,,,,,,,,99.70,99.70,106.65,92.75
2014-11-26,17331,五鼎一,議價,,,,,,,,,,,,
2014-11-26,17522,南光二,等價,,,,,,,,,106.70,106.70,114.15,99.25
2014-11-26,17522,南光二,議價,,,,,,,,,,,,
2014-11-26,17953,美時三,等價,,,,,,,,,276.25,299.00,319.00,279.00
2014-11-26,17953,美時三,議價,,,,,,,,,,,,
2014-11-26,18081,潤隆一,等價,,,,,,,,,132.00,132.00,141.20,122.80
2014-11-26,18081,潤隆一,議價,,,,,,,,,,,,
2014-11-26,18083,潤隆三,等價,,,,,,,,,127.00,126.50,135.35,117.65
2014-11-26,18083,潤隆三,議價,,,,,,,,,,,,
2014-11-26,18153,富喬三,等價,,,,,,,,,103.90,103.00,110.20,95.80
2014-11-26,18153,富喬三,議價,,,,,,,,,,,,
2014-11-26,18154,富喬四,等價,,,,,,,,,100.00,100.00,107.00,93.00
2014-11-26,18154,富喬四,議價,,,,,,,,,,,,
