資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2009-12-17,12101,大成一,等價,,,,,,,,,109.32,109.80,117.45,102.15
2009-12-17,12101,大成一,議價,,,,,,,,,,,,
2009-12-17,12161,統一一,等價,102.00,-0.05,102.00,102.00,102.00,4,22,"2,244,000",102.00,102.00,109.10,94.90
2009-12-17,12161,統一一,議價,,,,,,,,,,,,
2009-12-17,13121,國喬一,等價,,,,,,,,,155.00,155.00,165.00,144.15
2009-12-17,13121,國喬一,議價,,,,,,,,,,,,
2009-12-17,140201,遠紡E1,等價,99.45,-0.05,99.50,99.50,99.45,3,50,"4,973,500",99.47,99.45,106.40,92.50
2009-12-17,140201,遠紡E1,議價,,,,,,,,,,,,
2009-12-17,14093,新纖三,等價,107.00,-1.20,108.20,108.20,107.00,13,97,"10,433,200",107.55,107.00,114.45,99.55
2009-12-17,14093,新纖三,議價,,,,,,,,,,,,
2009-12-17,14773,聚陽三,等價,,,,,,,,,130.00,130.00,139.10,120.90
2009-12-17,14773,聚陽三,議價,,,,,,,,,,,,
2009-12-17,15242,耿鼎二,等價,,,,,,,,,100.00,113.00,120.90,105.10
2009-12-17,15242,耿鼎二,議價,,,,,,,,,,,,
2009-12-17,15281,恩德一,等價,,,,,,,,,100.00,100.00,107.00,93.00
2009-12-17,15281,恩德一,議價,,,,,,,,,,,,
2009-12-17,15362,和大二,等價,,,,,,,,,106.50,106.50,113.95,99.05
2009-12-17,15362,和大二,議價,,,,,,,,,,,,
2009-12-17,15371,廣隆一,等價,137.70,+3.70,137.70,137.70,137.70,1,2,"275,400",137.70,137.70,147.30,128.10
2009-12-17,15371,廣隆一,議價,,,,,,,,,,,,
2009-12-17,16093,大亞1C,等價,,,,,,,,,96.88,98.00,104.85,91.15
2009-12-17,16093,大亞1C,議價,,,,,,,,,,,,
2009-12-17,17203,生達三,等價,106.00,,106.00,106.00,106.00,2,10,"1,060,000",106.00,106.00,113.40,98.60
2009-12-17,17203,生達三,議價,,,,,,,,,,,,
2009-12-17,17291,必翔一,等價,129.00,-6.00,129.00,129.00,129.00,1,1,"129,000",129.00,129.00,138.00,120.00
2009-12-17,17291,必翔一,議價,,,,,,,,,,,,
2009-12-17,17292,必翔二,等價,99.30,-0.50,99.90,100.00,99.30,44,157,"15,643,850",99.64,99.30,106.25,92.35
2009-12-17,17292,必翔二,議價,,,,,,,,,,,,
2009-12-17,17341,杏輝一,等價,,,,,,,,,134.11,137.15,146.75,127.55
2009-12-17,17341,杏輝一,議價,,,,,,,,,,,,
2009-12-17,17841,訊聯一,等價,,,,,,,,,141.75,141.75,151.00,131.85
2009-12-17,17841,訊聯一,議價,,,,,,,,,,,,
2009-12-17,18061,冠軍一,等價,,,,,,,,,183.52,183.00,195.00,171.00
2009-12-17,18061,冠軍一,議價,,,,,,,,,,,,
2009-12-17,18062,冠軍二,等價,,,,,,,,,191.66,193.00,206.00,180.00
2009-12-17,18062,冠軍二,議價,,,,,,,,,,,,
2009-12-17,18151,富喬一,等價,,,,,,,,,103.14,103.70,110.95,96.45
2009-12-17,18151,富喬一,議價,,,,,,,,,,,,
2009-12-17,19023,台紙三,等價,111.00,-1.45,111.00,111.00,111.00,1,1,"111,000",111.00,111.00,118.75,103.25
2009-12-17,19023,台紙三,議價,,,,,,,,,,,,
2009-12-17,20064,東鋼四,等價,99.60,-0.10,99.60,99.60,99.60,1,8,"796,800",99.60,99.60,106.55,92.65
2009-12-17,20064,東鋼四,議價,,,,,,,,,,,,
2009-12-17,20065,東鋼五,等價,109.75,-0.25,110.00,110.50,109.75,25,210,"23,140,500",110.19,109.75,117.40,102.10
2009-12-17,20065,東鋼五,議價,,,,,,,,,,,,
2009-12-17,20202,美亞二,等價,110.00,-4.00,112.00,112.00,109.60,30,38,"4,206,000",110.68,110.00,117.70,102.30
2009-12-17,20202,美亞二,議價,,,,,,,,,,,,
2009-12-17,20203,美亞三,等價,,,,,,,,,158.55,161.00,172.00,149.75
2009-12-17,20203,美亞三,議價,,,,,,,,,,,,
2009-12-17,20313,新光三,等價,,,,,,,,,175.00,175.00,187.00,163.00
2009-12-17,20313,新光三,議價,,,,,,,,,,,,
2009-12-17,20342,允強二,等價,,,,,,,,,118.00,117.95,126.20,109.70
2009-12-17,20342,允強二,議價,,,,,,,,,,,,
2009-12-17,20591,川湖一,等價,111.00,+1.00,110.00,111.00,110.00,2,3,"332,000",110.66,111.00,118.75,103.25
2009-12-17,20591,川湖一,議價,,,,,,,,,,,,
2009-12-17,20592,川湖二,等價,102.00,-0.50,102.00,102.00,102.00,3,21,"2,142,000",102.00,102.00,109.10,94.90
2009-12-17,20592,川湖二,議價,,,,,,,,,,,,
2009-12-17,21141,鑫永一,等價,107.00,,107.00,107.00,107.00,5,25,"2,675,000",107.00,107.00,114.45,99.55
2009-12-17,21141,鑫永一,議價,,,,,,,,,,,,
2009-12-17,22012,裕隆二,等價,,,,,,,,,126.27,136.00,145.50,126.50
2009-12-17,22012,裕隆二,議價,,,,,,,,,,,,
2009-12-17,23153,神達三,等價,,,,,,,,,98.70,98.70,105.60,91.80
2009-12-17,23153,神達三,議價,,,,,,,,,,,,
2009-12-17,23171,鴻海一,等價,100.00,,100.05,100.05,100.00,2,50,"5,001,500",100.03,100.00,107.00,93.00
2009-12-17,23171,鴻海一,議價,,,,,,,,,,,,
2009-12-17,23471,聯強一,等價,110.50,,110.70,110.70,110.10,36,191,"21,111,200",110.52,110.50,118.20,102.80
2009-12-17,23471,聯強一,議價,,,,,,,,,,,,
2009-12-17,235201,達科E1,等價,,,,,,,,,99.75,100.00,107.00,93.00
2009-12-17,235201,達科E1,議價,,,,,,,,,,,,
2009-12-17,23541,鴻準一,等價,98.45,,98.45,98.45,98.40,19,183,"18,016,300",98.44,98.45,105.30,91.60
2009-12-17,23541,鴻準一,議價,,,,,,,,,,,,
2009-12-17,23571,華碩一,等價,105.25,,105.25,105.25,105.20,8,38,"3,999,450",105.24,105.25,112.60,97.90
2009-12-17,23571,華碩一,議價,,,,,,,,,,,,
2009-12-17,23692,菱生二,等價,119.00,-2.60,120.00,120.20,117.00,11,30,"3,588,300",119.61,119.00,127.30,110.70
2009-12-17,23692,菱生二,議價,,,,,,,,,,,,
2009-12-17,23712,大同二,等價,,,,,,,,,98.97,98.90,105.80,92.00
2009-12-17,23712,大同二,議價,,,,,,,,,,,,
2009-12-17,23772,微星二,等價,102.00,-0.20,102.20,102.20,102.00,7,66,"6,734,000",102.03,102.00,109.10,94.90
2009-12-17,23772,微星二,議價,,,,,,,,,,,,
2009-12-17,23832,台光二,等價,,,,,,,,,201.00,201.00,215.00,187.00
2009-12-17,23832,台光二,議價,,,,,,,,,,,,
2009-12-17,23921,正崴一,等價,102.00,,102.00,102.00,102.00,3,37,"3,774,000",102.00,102.00,109.10,94.90
2009-12-17,23921,正崴一,議價,,,,,,,,,,,,
2009-12-17,23932,億光二,等價,,,,,,,,,153.93,153.00,163.00,142.30
2009-12-17,23932,億光二,議價,,,,,,,,,,,,
2009-12-17,23933,億光三,等價,123.50,-3.30,127.50,128.25,122.90,83,373,"46,811,900",125.50,123.50,132.10,114.90
2009-12-17,23933,億光三,議價,,,,,,,,,,,,
2009-12-17,23934,億光四,等價,115.70,-1.90,117.90,118.70,115.00,63,236,"27,720,350",117.45,115.70,123.75,107.65
2009-12-17,23934,億光四,議價,,,,,,,,,,,,
2009-12-17,24093,友達三,等價,105.70,+0.45,105.35,105.70,105.35,8,71,"7,485,200",105.42,105.70,113.05,98.35
2009-12-17,24093,友達三,議價,,,,,,,,,,,,
2009-12-17,24265,鼎元五,等價,,,,,,,,,146.61,147.00,157.00,136.75
2009-12-17,24265,鼎元五,議價,,,,,,,,,,,,
2009-12-17,24266,鼎元六,等價,,,,,,,,,131.00,131.00,140.15,121.85
2009-12-17,24266,鼎元六,議價,,,,,,,,,,,,
2009-12-17,24267,鼎元七,等價,,,,,,,,,131.01,131.00,140.15,121.85
2009-12-17,24267,鼎元七,議價,,,,,,,,,,,,
2009-12-17,24282,興勤二,等價,,,,,,,,,246.00,269.00,287.00,251.00
2009-12-17,24282,興勤二,議價,,,,,,,,,,,,
2009-12-17,24483,晶電三,等價,114.50,+0.70,114.80,115.80,113.50,26,125,"14,334,750",114.67,114.50,122.50,106.50
