抓取日期,代碼,簡稱,下櫃日期
2026-09-18,45421,科嶠一,115/09/18
2026-09-18,33055,昇貿五,115/09/17
2026-09-18,23372,旺宏二,115/09/16
2026-09-18,64512,訊芯二KY,115/09/14
2026-09-18,24361,偉詮電一,115/09/14
2026-09-18,33881,崇越電一,115/09/10
2026-09-18,15601,中砂一,115/09/03
2026-09-18,66722,騰輝電子二KY,115/09/02
2026-09-18,66721,騰輝電子一KY,115/09/02
2026-09-18,15865,和勤五,115/09/01
2026-09-18,30882,艾訊二,115/08/31
2026-09-18,15864,和勤四,115/08/31
2026-09-18,89964,高力四,115/08/28
2026-09-18,67961,晉弘一,115/08/26
2026-09-18,23683,金像電三,115/08/21
2026-09-18,64145,樺漢五,115/08/17
2026-09-18,24624,良得電四,115/08/12
2026-09-18,82551,朋程一,115/08/10
2026-09-18,65842,南俊國際二,115/08/10
2026-09-18,65841,南俊國際一,115/08/10
2026-09-18,53095,系統電五,115/08/10
2026-09-18,370201,大聯大E1,115/08/10
2026-09-18,24642,盟立二,115/08/10
2026-09-18,64773,安集三,115/08/05
2026-09-18,23383,光罩三,115/08/04
2026-09-18,50097,榮剛七,115/08/03
2026-09-18,20662,世德二,115/08/03
2026-09-18,61827,合晶七,115/07/28
2026-09-18,84662,美吉吉二KY,115/07/27
2026-09-18,61793,亞通三,115/07/27
2026-09-18,52303,雷笛克光學三,115/07/27
2026-09-18,37023,大聯大三,115/07/27
2026-09-18,37022,大聯大二,115/07/27
2026-09-18,49674,十銓四,115/07/20
2026-09-18,24866,一詮六,115/07/20
2026-09-18,32608,威剛八,115/07/10
2026-09-18,35832,辛耘二,115/07/08
2026-09-18,35831,辛耘一,115/07/08
2026-09-18,62756,元山六,115/07/06
2026-09-18,31282,昇銳二,115/07/06
2026-09-18,30922,鴻碩二,115/07/06
2026-09-18,54342,崇越二,115/06/30
2026-09-18,62745,台燿五,115/06/29
2026-09-18,15894,永冠四KY,115/06/29
2026-09-18,31351,凌航一,115/06/25
2026-09-18,64423,光聖三,115/06/24
2026-09-18,68061,森崴能源一,115/06/23
2026-09-18,68041,明係一,115/06/22
2026-09-18,56086,四維航六,115/06/22
2026-09-18,35871,閎康一,115/06/22
