資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2019-10-14,12582,其祥二KY,等價,87.70,+0.10,87.70,87.75,87.70,4,7,"613,950",87.70,87.70,96.45,78.95
2019-10-14,12582,其祥二KY,議價,,,,,,,,,,,,
2019-10-14,13163,上曜三,等價,,,,,,,,,111.60,111.95,123.10,100.80
2019-10-14,13163,上曜三,議價,,,,,,,,,,,,
2019-10-14,14423,名軒三,等價,,,,,,,,,133.00,133.10,146.40,119.80
2019-10-14,14423,名軒三,議價,,,,,,,,,,,,
2019-10-14,14721,三洋紡一,等價,111.60,-0.30,110.50,111.70,110.50,3,19,"2,119,800",111.56,111.60,122.75,100.45
2019-10-14,14721,三洋紡一,議價,,,,,,,,,,,,
2019-10-14,15302,亞崴二,等價,,,,,,,,,100.00,100.00,110.00,90.00
2019-10-14,15302,亞崴二,議價,,,,,,,,,,,,
2019-10-14,15696,濱川六,等價,106.25,,106.25,106.25,106.25,1,10,"1,062,500",106.25,106.25,116.85,95.65
2019-10-14,15696,濱川六,議價,,,,,,,,,,,,
2019-10-14,15831,程泰一,等價,,,,,,,,,99.30,99.35,109.25,89.45
2019-10-14,15831,程泰一,議價,,,,,,,,,,,,
2019-10-14,15892,永冠二KY,等價,,,,,,,,,101.00,101.75,111.90,91.60
2019-10-14,15892,永冠二KY,議價,,,,,,,,,,,,
2019-10-14,15981,岱宇一,等價,109.50,+0.85,108.65,109.50,108.65,3,7,"761,400",108.77,109.50,120.45,98.55
2019-10-14,15981,岱宇一,議價,,,,,,,,,,,,
2019-10-14,16262,艾美特二KY,等價,,,,,,,,,111.39,111.65,122.80,100.50
2019-10-14,16262,艾美特二KY,議價,,,,,,,,,,,,
2019-10-14,17333,五鼎三,等價,,,,,,,,,107.96,107.80,118.55,97.05
2019-10-14,17333,五鼎三,議價,,,,,,,,,,,,
2019-10-14,17861,科妍一,等價,105.15,,104.60,105.80,104.60,6,30,"3,144,150",104.80,105.15,115.65,94.65
2019-10-14,17861,科妍一,議價,,,,,,,,,,,,
2019-10-14,17881,杏昌一,等價,,,,,,,,,108.83,108.80,119.65,97.95
2019-10-14,17881,杏昌一,議價,,,,,,,,,,,,
2019-10-14,17961,金穎生技一,等價,88.20,,88.20,88.20,88.20,3,23,"2,028,600",88.20,88.20,97.00,79.40
2019-10-14,17961,金穎生技一,議價,,,,,,,,,,,,
2019-10-14,17991,易威一,等價,,,,,,,,,101.00,101.00,111.10,90.90
2019-10-14,17991,易威一,議價,,,,,,,,,,,,
2019-10-14,18155,富喬五,等價,106.00,+0.65,106.00,106.50,106.00,7,63,"6,679,400",106.02,106.00,116.60,95.40
2019-10-14,18155,富喬五,議價,,,,,,,,,,,,
2019-10-14,20067,東和鋼鐵七,等價,,,,,,,,,103.86,103.75,114.10,93.40
2019-10-14,20067,東和鋼鐵七,議價,,,,,,,,,,,,
2019-10-14,20315,新光鋼五,等價,107.20,,107.20,107.20,107.20,1,1,"107,200",107.20,107.20,117.90,96.50
2019-10-14,20315,新光鋼五,議價,,,,,,,,,,,,
2019-10-14,20631,世鎧一,等價,109.10,-0.10,109.50,109.50,109.00,5,28,"3,054,200",109.07,109.10,120.00,98.20
2019-10-14,20631,世鎧一,議價,,,,,,,,,,,,
2019-10-14,20693,運錩三,等價,99.00,,99.00,99.00,99.00,5,13,"1,287,000",99.00,99.00,108.90,89.10
2019-10-14,20693,運錩三,議價,,,,,,,,,,,,
2019-10-14,22361,百達一KY,等價,,,,,,,,,100.95,100.70,110.75,90.65
2019-10-14,22361,百達一KY,議價,,,,,,,,,,,,
2019-10-14,22391,英利一KY,等價,,,,,,,,,99.55,99.55,109.50,89.60
2019-10-14,22391,英利一KY,議價,,,,,,,,,,,,
2019-10-14,22392,英利二KY,等價,,,,,,,,,99.50,99.00,108.90,89.10
2019-10-14,22392,英利二KY,議價,,,,,,,,,,,,
2019-10-14,22431,宏旭一KY,等價,88.50,,88.50,88.50,88.50,5,42,"3,717,000",88.50,88.50,97.35,79.65
2019-10-14,22431,宏旭一KY,議價,,,,,,,,,,,,
2019-10-14,233201,友訊E1,等價,123.55,-0.45,121.00,123.55,121.00,5,12,"1,454,550",121.21,123.55,135.90,111.20
2019-10-14,233201,友訊E1,議價,,,,,,,,,,,,
2019-10-14,23481,海悅一,等價,114.00,+1.00,113.95,114.00,113.80,36,103,"11,739,750",113.97,114.00,125.40,102.60
2019-10-14,23481,海悅一,議價,,,,,,,,,,,,
2019-10-14,23834,台光電四,等價,124.35,+1.55,123.50,124.50,123.50,10,17,"2,111,850",124.22,124.35,136.75,111.95
2019-10-14,23834,台光電四,議價,,,,,,,,,,,,
2019-10-14,23936,億光六,等價,99.35,+0.05,99.35,99.35,99.35,2,30,"2,980,500",99.35,99.35,109.25,89.45
2019-10-14,23936,億光六,議價,,,,,,,,,,,,
2019-10-14,24064,國碩四,等價,,,,,,,,,102.44,102.40,112.60,92.20
2019-10-14,24064,國碩四,議價,,,,,,,,,,,,
2019-10-14,24392,美律二,等價,114.55,+0.55,114.50,114.90,114.20,20,57,"6,519,150",114.37,114.55,126.00,103.10
2019-10-14,24392,美律二,議價,,,,,,,,,,,,
2019-10-14,24564,奇力新四,等價,,,,,,,,,155.00,155.00,170.00,139.50
2019-10-14,24564,奇力新四,議價,,,,,,,,,,,,
2019-10-14,24565,奇力新五,等價,106.15,+0.75,106.00,106.15,106.00,2,46,"4,876,150",106.00,106.15,116.75,95.55
2019-10-14,24565,奇力新五,議價,,,,,,,,,,,,
2019-10-14,24566,奇力新六,等價,108.00,+0.50,107.50,108.40,107.50,16,147,"15,873,650",107.98,108.00,118.80,97.20
2019-10-14,24566,奇力新六,議價,108.00,+0.50,,108.00,108.00,1,60,"6,480,000",,,,
2019-10-14,24722,立隆電二,等價,108.30,-0.60,108.00,108.30,108.00,21,107,"11,582,100",108.24,108.30,119.10,97.50
2019-10-14,24722,立隆電二,議價,,,,,,,,,,,,
2019-10-14,25282,皇普二,等價,105.85,-0.05,105.75,105.85,105.70,10,98,"10,363,850",105.75,105.85,116.40,95.30
2019-10-14,25282,皇普二,議價,,,,,,,,,,,,
2019-10-14,25354,達欣工四,等價,134.60,+7.60,134.60,134.60,134.60,1,1,"134,600",134.60,134.60,148.05,121.15
2019-10-14,25354,達欣工四,議價,,,,,,,,,,,,
2019-10-14,25355,達欣工五,等價,115.45,+0.55,115.45,115.45,115.45,1,1,"115,450",115.45,115.45,126.95,103.95
2019-10-14,25355,達欣工五,議價,,,,,,,,,,,,
2019-10-14,25391,櫻花建一,等價,,,,,,,,,111.12,111.45,122.55,100.35
2019-10-14,25391,櫻花建一,議價,,,,,,,,,,,,
2019-10-14,25392,櫻花建二,等價,106.00,+0.10,105.90,106.00,105.90,4,13,"1,377,200",105.93,106.00,116.60,95.40
2019-10-14,25392,櫻花建二,議價,,,,,,,,,,,,
2019-10-14,25425,興富發五,等價,110.00,-0.10,110.15,110.20,110.00,16,163,"17,954,100",110.14,110.00,121.00,99.00
2019-10-14,25425,興富發五,議價,,,,,,,,,,,,
2019-10-14,26095,陽明五,等價,102.50,+0.30,102.45,102.50,102.45,2,20,"2,049,500",102.47,102.50,112.75,92.25
2019-10-14,26095,陽明五,議價,,,,,,,,,,,,
2019-10-14,26106,華航六,等價,99.20,,99.20,99.20,99.20,12,260,"25,792,000",99.20,99.20,109.10,89.30
2019-10-14,26106,華航六,議價,,,,,,,,,,,,
2019-10-14,26183,長榮航三,等價,105.30,+0.10,105.40,105.40,105.20,19,196,"20,634,800",105.27,105.30,115.80,94.80
2019-10-14,26183,長榮航三,議價,,,,,,,,,,,,
2019-10-14,26301,亞航一,等價,103.95,-0.10,103.95,103.95,103.95,1,20,"2,079,000",103.95,103.95,114.30,93.60
2019-10-14,26301,亞航一,議價,,,,,,,,,,,,
2019-10-14,26302,亞航二,等價,103.85,,103.85,103.85,103.85,1,20,"2,077,000",103.85,103.85,114.20,93.50
2019-10-14,26302,亞航二,議價,,,,,,,,,,,,
2019-10-14,26372,慧洋二KY,等價,117.55,+1.05,116.70,117.90,116.10,10,53,"6,180,050",116.60,117.55,129.30,105.80
2019-10-14,26372,慧洋二KY,議價,,,,,,,,,,,,
2019-10-14,26373,慧洋三KY,等價,114.60,+0.60,114.50,114.60,114.50,3,10,"1,145,100",114.51,114.60,126.05,103.15
2019-10-14,26373,慧洋三KY,議價,,,,,,,,,,,,
2019-10-14,26413,正德三,等價,,,,,,,,,102.38,102.40,112.60,92.20
2019-10-14,26413,正德三,議價,,,,,,,,,,,,
2019-10-14,26414,正德四,等價,98.90,+0.20,98.80,98.90,98.80,2,8,"790,600",98.82,98.90,108.75,89.05
2019-10-14,26414,正德四,議價,,,,,,,,,,,,
2019-10-14,27072,晶華二,等價,105.35,+0.35,104.80,105.40,104.80,6,37,"3,881,550",104.90,105.35,115.85,94.85
2019-10-14,27072,晶華二,議價,,,,,,,,,,,,
2019-10-14,27322,六角二,等價,,,,,,,,,230.00,227.00,249.00,205.00
2019-10-14,27322,六角二,議價,,,,,,,,,,,,
2019-10-14,27481,雲品一,等價,102.95,+0.45,102.95,102.95,102.90,5,41,"4,220,450",102.93,102.95,113.20,92.70
2019-10-14,27481,雲品一,議價,,,,,,,,,,,,
