資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2008-05-29,12101,大成一,等價,112.50,+1.00,113.50,114.60,112.50,71,231,"26,201,050",113.39,112.50,120.35,104.65
2008-05-29,12101,大成一,議價,113.10,+1.60,,113.10,113.10,1,20,"2,262,000",,,,
2008-05-29,12161,統一一,等價,101.10,+0.40,100.00,101.20,100.00,95,"1,544","155,863,550",100.94,101.10,108.15,94.05
2008-05-29,12161,統一一,議價,,,,,,,,,,,,
2008-05-29,13121,國喬一,等價,106.80,,107.00,107.00,106.60,10,90,"9,616,000",106.84,106.80,114.25,99.35
2008-05-29,13121,國喬一,議價,,,,,,,,,,,,
2008-05-29,140201,遠紡E1,等價,106.15,-0.25,106.80,107.10,105.80,34,373,"39,705,400",106.44,106.15,113.55,98.75
2008-05-29,140201,遠紡E1,議價,,,,,,,,,,,,
2008-05-29,14093,新纖三,等價,105.30,-0.10,106.00,106.00,105.30,16,200,"21,127,000",105.63,105.30,112.65,97.95
2008-05-29,14093,新纖三,議價,,,,,,,,,,,,
2008-05-29,14771,聚陽一,等價,,,,,,,,,278.00,278.00,297.00,259.00
2008-05-29,14771,聚陽一,議價,,,,,,,,,,,,
2008-05-29,14772,聚陽二,等價,193.00,,193.00,193.00,193.00,1,1,"193,000",193.00,193.00,206.00,180.00
2008-05-29,14772,聚陽二,議價,,,,,,,,,,,,
2008-05-29,15221,堤維一,等價,108.50,-1.00,108.50,108.50,108.50,1,20,"2,170,000",108.50,108.50,116.05,100.95
2008-05-29,15221,堤維一,議價,,,,,,,,,,,,
2008-05-29,15242,耿鼎二,等價,,,,,,,,,100.00,113.00,120.90,105.10
2008-05-29,15242,耿鼎二,議價,,,,,,,,,,,,
2008-05-29,15281,恩德一,等價,,,,,,,,,102.06,103.10,110.30,95.90
2008-05-29,15281,恩德一,議價,,,,,,,,,,,,
2008-05-29,15323,勤美三,等價,,,,,,,,,333.00,333.00,356.00,310.00
2008-05-29,15323,勤美三,議價,,,,,,,,,,,,
2008-05-29,15362,和大二,等價,109.00,+1.00,107.00,109.00,107.00,2,2,"216,000",108.00,109.00,116.60,101.40
2008-05-29,15362,和大二,議價,,,,,,,,,,,,
2008-05-29,15371,廣隆一,等價,,,,,,,,,114.04,114.00,121.95,106.05
2008-05-29,15371,廣隆一,議價,,,,,,,,,,,,
2008-05-29,15691,濱川一,等價,,,,,,,,,100.00,100.00,107.00,93.00
2008-05-29,15691,濱川一,議價,,,,,,,,,,,,
