資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2023-12-21,13164,上曜四,等價,107.80,-0.40,107.80,107.80,107.80,2,10,"1,078,000",107.80,107.80,118.55,97.05
2023-12-21,13164,上曜四,議價,,,,,,,,,,,,
2023-12-21,13165,上曜五,等價,109.80,,109.80,110.65,109.80,10,15,"1,652,250",110.15,109.80,120.75,98.85
2023-12-21,13165,上曜五,議價,,,,,,,,,,,,
2023-12-21,13381,廣華一KY,等價,,,,,,,,,101.03,101.10,111.20,91.00
2023-12-21,13381,廣華一KY,議價,,,,,,,,,,,,
2023-12-21,13382,廣華二KY,等價,112.80,-0.15,112.95,113.00,112.80,10,27,"3,047,350",112.86,112.80,124.05,101.55
2023-12-21,13382,廣華二KY,議價,,,,,,,,,,,,
2023-12-21,13411,富林一KY,等價,,,,,,,,,114.00,107.90,118.65,97.15
2023-12-21,13411,富林一KY,議價,,,,,,,,,,,,
2023-12-21,13421,八貫一,等價,,,,,,,,,184.50,186.00,204.00,168.00
2023-12-21,13421,八貫一,議價,,,,,,,,,,,,
2023-12-21,14361,華友聯一,等價,,,,,,,,,251.00,251.00,276.00,226.00
2023-12-21,14361,華友聯一,議價,,,,,,,,,,,,
2023-12-21,14362,華友聯二,等價,,,,,,,,,225.00,225.00,247.00,203.00
2023-12-21,14362,華友聯二,議價,,,,,,,,,,,,
2023-12-21,14742,弘裕二,等價,100.60,+0.10,100.00,100.60,100.00,7,35,"3,506,300",100.18,100.60,110.65,90.55
2023-12-21,14742,弘裕二,議價,,,,,,,,,,,,
2023-12-21,15141,亞力一,等價,126.15,-2.25,127.00,127.90,126.15,14,32,"4,051,150",126.59,126.15,138.75,113.55
2023-12-21,15141,亞力一,議價,,,,,,,,,,,,
2023-12-21,15261,日馳一,等價,97.80,-0.10,97.95,97.95,97.80,12,38,"3,716,850",97.81,97.80,107.55,88.05
2023-12-21,15261,日馳一,議價,,,,,,,,,,,,
2023-12-21,15324,勤美四,等價,,,,,,,,,128.44,128.00,140.80,115.20
2023-12-21,15324,勤美四,議價,,,,,,,,,,,,
2023-12-21,15332,車王電二,等價,,,,,,,,,97.40,97.50,107.25,87.75
2023-12-21,15332,車王電二,議價,,,,,,,,,,,,
2023-12-21,15823,信錦三,等價,136.00,-5.90,139.30,139.30,136.00,10,23,"3,155,550",137.19,136.00,149.60,122.40
2023-12-21,15823,信錦三,議價,,,,,,,,,,,,
2023-12-21,15864,和勤四,等價,,,,,,,,,110.51,110.50,121.55,99.45
2023-12-21,15864,和勤四,議價,,,,,,,,,,,,
2023-12-21,15865,和勤五,等價,,,,,,,,,103.75,103.55,113.90,93.20
2023-12-21,15865,和勤五,議價,,,,,,,,,,,,
2023-12-21,15893,永冠三KY,等價,,,,,,,,,101.26,98.00,107.80,88.20
2023-12-21,15893,永冠三KY,議價,,,,,,,,,,,,
2023-12-21,15894,永冠四KY,等價,,,,,,,,,99.05,99.00,108.90,89.10
