資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2023-08-18,13164,上曜四,等價,,,,,,,,,107.03,107.10,117.80,96.40
2023-08-18,13164,上曜四,議價,,,,,,,,,,,,
2023-08-18,13165,上曜五,等價,,,,,,,,,102.06,102.05,112.25,91.85
2023-08-18,13165,上曜五,議價,,,,,,,,,,,,
2023-08-18,13381,廣華一KY,等價,,,,,,,,,99.90,99.90,109.85,89.95
2023-08-18,13381,廣華一KY,議價,,,,,,,,,,,,
2023-08-18,13411,富林一KY,等價,,,,,,,,,112.00,112.00,123.20,100.80
2023-08-18,13411,富林一KY,議價,,,,,,,,,,,,
2023-08-18,13421,八貫一,等價,,,,,,,,,182.00,164.00,180.00,147.60
2023-08-18,13421,八貫一,議價,,,,,,,,,,,,
2023-08-18,14361,華友聯一,等價,,,,,,,,,202.75,205.00,225.00,185.00
2023-08-18,14361,華友聯一,議價,,,,,,,,,,,,
2023-08-18,14362,華友聯二,等價,184.00,,184.00,184.00,184.00,1,2,"368,000",184.00,184.00,202.00,166.00
2023-08-18,14362,華友聯二,議價,,,,,,,,,,,,
2023-08-18,14742,弘裕二,等價,,,,,,,,,100.10,100.10,110.10,90.10
2023-08-18,14742,弘裕二,議價,,,,,,,,,,,,
2023-08-18,15141,亞力一,等價,108.15,+0.15,108.00,110.90,108.00,116,678,"73,926,400",109.03,108.15,118.95,97.35
2023-08-18,15141,亞力一,議價,,,,,,,,,,,,
2023-08-18,15324,勤美四,等價,119.00,-1.25,119.95,121.85,118.20,14,93,"11,055,150",118.87,119.00,130.90,107.10
2023-08-18,15324,勤美四,議價,,,,,,,,,,,,
2023-08-18,15332,車王電二,等價,98.20,-0.50,98.20,98.20,98.20,1,1,"98,200",98.20,98.20,108.00,88.40
2023-08-18,15332,車王電二,議價,,,,,,,,,,,,
2023-08-18,15823,信錦三,等價,107.70,-0.30,108.00,108.00,107.70,5,9,"971,400",107.93,107.70,118.45,96.95
2023-08-18,15823,信錦三,議價,,,,,,,,,,,,
2023-08-18,15862,和勤二,等價,,,,,,,,,100.00,99.85,109.80,89.90
2023-08-18,15862,和勤二,議價,,,,,,,,,,,,
2023-08-18,15863,和勤三,等價,100.25,,100.25,100.25,100.25,1,1,"100,250",100.25,100.25,110.25,90.25
2023-08-18,15863,和勤三,議價,,,,,,,,,,,,
2023-08-18,15893,永冠三KY,等價,,,,,,,,,101.20,101.20,111.30,91.10
2023-08-18,15893,永冠三KY,議價,,,,,,,,,,,,
2023-08-18,15894,永冠四KY,等價,103.00,+1.05,103.75,103.95,103.00,13,20,"2,072,800",103.64,103.00,113.30,92.70
2023-08-18,15894,永冠四KY,議價,,,,,,,,,,,,
2023-08-18,15932,祺驊二,等價,,,,,,,,,153.00,153.00,168.00,137.70
2023-08-18,15932,祺驊二,議價,,,,,,,,,,,,
2023-08-18,15982,岱宇二,等價,,,,,,,,,99.60,99.75,109.70,89.80
2023-08-18,15982,岱宇二,議價,,,,,,,,,,,,
2023-08-18,15983,岱宇三,等價,,,,,,,,,95.10,95.40,104.90,85.90
2023-08-18,15983,岱宇三,議價,,,,,,,,,,,,
2023-08-18,15991,宏佳騰一,等價,,,,,,,,,104.00,104.00,114.40,93.60
2023-08-18,15991,宏佳騰一,議價,,,,,,,,,,,,
2023-08-18,16094,大亞四,等價,137.70,-0.50,140.00,142.00,137.70,19,51,"7,126,900",139.74,137.70,151.00,123.95
2023-08-18,16094,大亞四,議價,,,,,,,,,,,,
2023-08-18,16173,榮星三,等價,,,,,,,,,105.20,105.00,115.50,94.50
2023-08-18,16173,榮星三,議價,,,,,,,,,,,,
2023-08-18,16264,艾美特四KY,等價,,,,,,,,,99.15,99.15,109.05,89.25
2023-08-18,16264,艾美特四KY,議價,,,,,,,,,,,,
2023-08-18,17271,中華化一,等價,,,,,,,,,109.98,109.95,120.90,99.00
2023-08-18,17271,中華化一,議價,,,,,,,,,,,,
2023-08-18,17862,科妍二,等價,,,,,,,,,195.00,180.00,198.00,162.00
2023-08-18,17862,科妍二,議價,,,,,,,,,,,,
2023-08-18,18051,寶徠一,等價,,,,,,,,,101.45,101.45,111.55,91.35
2023-08-18,18051,寶徠一,議價,,,,,,,,,,,,
2023-08-18,18156,富喬六,等價,,,,,,,,,105.00,105.30,115.80,94.80
2023-08-18,18156,富喬六,議價,,,,,,,,,,,,
2023-08-18,19094,榮成四,等價,,,,,,,,,96.65,96.85,106.50,87.20
2023-08-18,19094,榮成四,議價,,,,,,,,,,,,
2023-08-18,20121,春雨一,等價,102.80,-0.10,103.00,103.00,102.80,3,10,"1,029,000",102.90,102.80,113.05,92.55
2023-08-18,20121,春雨一,議價,,,,,,,,,,,,
2023-08-18,20122,春雨二,等價,103.00,,103.00,103.00,103.00,1,1,"103,000",103.00,103.00,113.30,92.70
2023-08-18,20122,春雨二,議價,,,,,,,,,,,,
2023-08-18,20123,春雨三,等價,104.00,,104.00,104.00,104.00,1,125,"13,000,000",104.00,104.00,114.40,93.60
2023-08-18,20123,春雨三,議價,,,,,,,,,,,,
2023-08-18,20343,允強三,等價,120.75,+0.90,120.00,121.00,120.00,8,11,"1,324,600",120.41,120.75,132.80,108.70
2023-08-18,20343,允強三,議價,,,,,,,,,,,,
2023-08-18,20612,風青二,等價,,,,,,,,,115.00,115.00,126.50,103.50
2023-08-18,20612,風青二,議價,,,,,,,,,,,,
2023-08-18,20652,世豐二,等價,,,,,,,,,112.03,112.90,124.15,101.65
2023-08-18,20652,世豐二,議價,,,,,,,,,,,,
2023-08-18,20661,世德一,等價,,,,,,,,,155.00,144.80,159.00,130.35
2023-08-18,20661,世德一,議價,,,,,,,,,,,,
2023-08-18,20662,世德二,等價,109.00,+1.50,109.00,109.00,109.00,1,1,"109,000",109.00,109.00,119.90,98.10
2023-08-18,20662,世德二,議價,,,,,,,,,,,,
2023-08-18,20694,運錩四,等價,,,,,,,,,99.40,99.40,109.30,89.50
2023-08-18,20694,運錩四,議價,,,,,,,,,,,,
2023-08-18,22013,裕隆三,等價,107.00,-0.50,107.40,107.60,107.00,27,163,"17,504,000",107.38,107.00,117.70,96.30
2023-08-18,22013,裕隆三,議價,,,,,,,,,,,,
2023-08-18,22081,台船一,等價,109.90,+0.05,111.95,111.95,109.90,3,3,"331,750",110.58,109.90,120.85,98.95
2023-08-18,22081,台船一,議價,,,,,,,,,,,,
2023-08-18,22304,泰茂四,等價,,,,,,,,,388.50,390.00,429.00,351.00
2023-08-18,22304,泰茂四,議價,,,,,,,,,,,,
2023-08-18,22313,為升三,等價,,,,,,,,,114.21,114.50,125.95,103.05
2023-08-18,22313,為升三,議價,,,,,,,,,,,,
2023-08-18,22362,百達二KY,等價,107.25,+3.45,108.00,108.05,105.95,117,378,"40,477,500",107.08,107.25,117.95,96.55
2023-08-18,22362,百達二KY,議價,,,,,,,,,,,,
2023-08-18,22393,英利三KY,等價,,,,,,,,,112.00,109.00,119.90,98.10
2023-08-18,22393,英利三KY,議價,,,,,,,,,,,,
2023-08-18,22431,宏旭一KY,等價,,,,,,,,,116.00,107.00,117.70,96.30
2023-08-18,22431,宏旭一KY,議價,,,,,,,,,,,,
2023-08-18,23383,光罩三,等價,101.55,-0.45,101.55,101.55,101.55,1,3,"304,650",101.55,101.55,111.70,91.40
2023-08-18,23383,光罩三,議價,,,,,,,,,,,,
2023-08-18,23581,廷鑫一,等價,,,,,,,,,104.83,106.50,117.15,95.85
2023-08-18,23581,廷鑫一,議價,,,,,,,,,,,,
2023-08-18,23835,台光電五,等價,173.00,-5.00,173.00,177.00,170.00,112,443,"77,138,000",174.12,173.00,190.00,156.00
2023-08-18,23835,台光電五,議價,,,,,,,,,,,,
2023-08-18,24213,建準三,等價,255.00,-22.00,277.00,280.00,250.00,159,403,"105,879,000",262.72,255.00,280.00,230.00
2023-08-18,24213,建準三,議價,,,,,,,,,,,,
2023-08-18,24393,美律三,等價,105.00,,105.00,105.00,105.00,1,4,"420,000",105.00,105.00,115.50,94.50
2023-08-18,24393,美律三,議價,,,,,,,,,,,,
2023-08-18,24616,光群雷六,等價,,,,,,,,,153.00,145.00,159.00,130.50
2023-08-18,24616,光群雷六,議價,,,,,,,,,,,,
2023-08-18,24624,良得電四,等價,123.95,+4.95,119.10,123.95,119.10,49,"2,075","253,112,100",121.89,123.95,136.30,111.60
2023-08-18,24624,良得電四,議價,123.95,+4.95,,123.95,120.00,2,300,"36,395,000",,,,
2023-08-18,24921,華新科一,等價,99.45,,99.45,99.45,99.45,1,56,"5,569,200",99.45,99.45,109.35,89.55
2023-08-18,24921,華新科一,議價,,,,,,,,,,,,
2023-08-18,24972,怡利電二,等價,109.00,-0.80,109.00,109.00,109.00,1,1,"109,000",109.00,109.00,119.90,98.10
2023-08-18,24972,怡利電二,議價,,,,,,,,,,,,
2023-08-18,25282,皇普二,等價,138.00,,138.00,138.00,138.00,1,5,"690,000",138.00,138.00,151.00,124.20
2023-08-18,25282,皇普二,議價,,,,,,,,,,,,
2023-08-18,25391,櫻花建一,等價,,,,,,,,,258.00,258.00,283.00,233.00
2023-08-18,25391,櫻花建一,議價,,,,,,,,,,,,
2023-08-18,25392,櫻花建二,等價,,,,,,,,,156.88,254.00,279.00,229.00
2023-08-18,25392,櫻花建二,議價,,,,,,,,,,,,
2023-08-18,26034,長榮四,等價,115.05,+1.05,114.50,116.10,114.50,178,777,"89,844,150",115.62,115.05,126.55,103.55
2023-08-18,26034,長榮四,議價,,,,,,,,,,,,
2023-08-18,26107,華航七,等價,130.65,-3.45,134.60,134.60,130.50,12,23,"3,024,100",131.48,130.65,143.70,117.60
2023-08-18,26107,華航七,議價,,,,,,,,,,,,
2023-08-18,26185,長榮航五,等價,,,,,,,,,179.50,181.00,199.00,163.00
2023-08-18,26185,長榮航五,議價,,,,,,,,,,,,
2023-08-18,26302,亞航二,等價,,,,,,,,,211.50,213.00,234.00,192.00
2023-08-18,26302,亞航二,議價,,,,,,,,,,,,
2023-08-18,26415,正德五,等價,103.40,+0.95,102.50,104.85,102.50,11,28,"2,896,100",103.43,103.40,113.70,93.10
2023-08-18,26415,正德五,議價,,,,,,,,,,,,
2023-08-18,27271,王品一,等價,,,,,,,,,110.54,111.00,122.10,99.90
2023-08-18,27271,王品一,議價,,,,,,,,,,,,
2023-08-18,27312,雄獅二,等價,,,,,,,,,218.00,196.00,215.00,177.00
2023-08-18,27312,雄獅二,議價,,,,,,,,,,,,
2023-08-18,27481,雲品一,等價,141.00,-1.00,140.00,141.00,140.00,7,10,"1,405,000",140.50,141.00,155.00,126.90
2023-08-18,27481,雲品一,議價,,,,,,,,,,,,
2023-08-18,288701,台新金E1,等價,104.00,+0.45,104.00,104.00,104.00,1,10,"1,040,000",104.00,104.00,114.40,93.60
2023-08-18,288701,台新金E1,議價,,,,,,,,,,,,
2023-08-18,28886,新光金五,等價,103.70,+0.40,103.00,103.70,103.00,18,120,"12,413,800",103.44,103.70,114.05,93.35
2023-08-18,28886,新光金五,議價,,,,,,,,,,,,
2023-08-18,28887,新光金六,等價,107.45,+0.25,107.40,107.60,107.30,21,148,"15,899,750",107.43,107.45,118.15,96.75
2023-08-18,28887,新光金六,議價,,,,,,,,,,,,
2023-08-18,29051,三商一,等價,,,,,,,,,100.00,100.00,110.00,90.00
2023-08-18,29051,三商一,議價,,,,,,,,,,,,
2023-08-18,29371,集雅社一,等價,,,,,,,,,99.99,100.00,110.00,90.00
2023-08-18,29371,集雅社一,議價,,,,,,,,,,,,
2023-08-18,30103,華立三,等價,112.60,,113.00,113.00,112.60,23,57,"6,436,500",112.92,112.60,123.85,101.35
