資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2013-11-14,12171,愛之一,等價,103.00,,103.00,103.00,103.00,1,2,"206,000",103.00,103.00,110.20,95.80
2013-11-14,12171,愛之一,議價,,,,,,,,,,,,
2013-11-14,12172,愛之二,等價,,,,,,,,,102.90,102.90,110.10,95.70
2013-11-14,12172,愛之二,議價,,,,,,,,,,,,
2013-11-14,12173,愛之三,等價,99.85,,99.85,99.85,99.80,4,5,"499,150",99.83,99.85,106.80,92.90
2013-11-14,12173,愛之三,議價,,,,,,,,,,,,
2013-11-14,12181,泰山一,等價,106.40,-0.15,106.00,106.40,105.20,11,40,"4,231,200",105.78,106.40,113.80,99.00
2013-11-14,12181,泰山一,議價,,,,,,,,,,,,
2013-11-14,12251,福脂一,等價,,,,,,,,,101.90,102.00,109.10,94.90
2013-11-14,12251,福脂一,議價,,,,,,,,,,,,
2013-11-14,13161,上曜一,等價,,,,,,,,,103.00,102.90,110.10,95.70
2013-11-14,13161,上曜一,議價,,,,,,,,,,,,
2013-11-14,13191,東陽一,等價,105.70,-1.00,106.55,106.55,104.85,70,271,"28,595,450",105.51,105.70,113.05,98.35
2013-11-14,13191,東陽一,議價,,,,,,,,,,,,
2013-11-14,13371,再生一,等價,,,,,,,,,112.00,112.00,119.80,104.20
2013-11-14,13371,再生一,議價,,,,,,,,,,,,
2013-11-14,14422,名軒二,等價,150.00,+0.85,150.00,150.00,150.00,2,14,"2,100,000",150.00,150.00,160.00,139.50
2013-11-14,14422,名軒二,議價,,,,,,,,,,,,
2013-11-14,14571,宜進一,等價,,,,,,,,,101.54,101.60,108.70,94.50
2013-11-14,14571,宜進一,議價,,,,,,,,,,,,
2013-11-14,14661,聚隆一,等價,,,,,,,,,112.20,100.90,107.95,93.85
2013-11-14,14661,聚隆一,議價,,,,,,,,,,,,
2013-11-14,14662,聚隆二,等價,,,,,,,,,111.30,112.50,120.35,104.65
2013-11-14,14662,聚隆二,議價,,,,,,,,,,,,
2013-11-14,14773,聚陽三,等價,,,,,,,,,495.00,508.00,543.00,473.00
2013-11-14,14773,聚陽三,議價,,,,,,,,,,,,
2013-11-14,14774,聚陽四,等價,,,,,,,,,211.33,210.00,224.00,196.00
2013-11-14,14774,聚陽四,議價,,,,,,,,,,,,
2013-11-14,15043,東元三,等價,154.00,-1.00,153.00,154.00,153.00,4,22,"3,367,000",153.04,154.00,164.00,143.25
2013-11-14,15043,東元三,議價,,,,,,,,,,,,
2013-11-14,15243,耿鼎三,等價,,,,,,,,,112.95,112.00,119.80,104.20
2013-11-14,15243,耿鼎三,議價,,,,,,,,,,,,
2013-11-14,15363,和大三,等價,,,,,,,,,648.00,648.00,693.00,603.00
2013-11-14,15363,和大三,議價,,,,,,,,,,,,
2013-11-14,15661,捷邦一,等價,,,,,,,,,96.50,96.50,103.25,89.75
2013-11-14,15661,捷邦一,議價,,,,,,,,,,,,
2013-11-14,15694,濱川四,等價,,,,,,,,,108.90,108.90,116.50,101.30
2013-11-14,15694,濱川四,議價,,,,,,,,,,,,
2013-11-14,15842,精剛二,等價,,,,,,,,,102.60,102.60,109.75,95.45
2013-11-14,15842,精剛二,議價,,,,,,,,,,,,
2013-11-14,16111,中電一,等價,,,,,,,,,99.00,99.00,105.90,92.10
2013-11-14,16111,中電一,議價,,,,,,,,,,,,
2013-11-14,16112,中電二,等價,,,,,,,,,99.50,99.30,106.25,92.35
2013-11-14,16112,中電二,議價,,,,,,,,,,,,
2013-11-14,16172,榮星二,等價,,,,,,,,,104.52,108.00,115.55,100.45
2013-11-14,16172,榮星二,議價,,,,,,,,,,,,
2013-11-14,17043,榮化三,等價,101.80,-0.20,101.80,101.80,101.80,1,10,"1,018,000",101.80,101.80,108.90,94.70
2013-11-14,17043,榮化三,議價,,,,,,,,,,,,
2013-11-14,17121,興農一,等價,,,,,,,,,107.40,107.00,114.45,99.55
2013-11-14,17121,興農一,議價,,,,,,,,,,,,
2013-11-14,17151,萬洲一,等價,,,,,,,,,130.10,129.50,138.55,120.45
2013-11-14,17151,萬洲一,議價,,,,,,,,,,,,
2013-11-14,17292,必翔二,等價,,,,,,,,,97.74,99.00,105.90,92.10
2013-11-14,17292,必翔二,議價,,,,,,,,,,,,
2013-11-14,17331,五鼎一,等價,104.00,+0.30,103.60,104.00,103.30,15,42,"4,352,150",103.62,104.00,111.25,96.75
2013-11-14,17331,五鼎一,議價,,,,,,,,,,,,
2013-11-14,17521,南光一,等價,101.20,-0.80,102.00,102.00,101.20,10,21,"2,131,100",101.48,101.20,108.25,94.15
2013-11-14,17521,南光一,議價,,,,,,,,,,,,
2013-11-14,17872,福盈二,等價,,,,,,,,,149.23,150.00,160.00,139.50
2013-11-14,17872,福盈二,議價,,,,,,,,,,,,
2013-11-14,17953,美時三,等價,,,,,,,,,133.00,133.00,142.30,123.70
2013-11-14,17953,美時三,議價,,,,,,,,,,,,
2013-11-14,18081,潤隆一,等價,,,,,,,,,145.40,145.40,155.00,135.25
2013-11-14,18081,潤隆一,議價,,,,,,,,,,,,
2013-11-14,18082,潤隆二,等價,,,,,,,,,128.90,130.00,139.10,120.90
2013-11-14,18082,潤隆二,議價,,,,,,,,,,,,
2013-11-14,18083,潤隆三,等價,,,,,,,,,130.00,130.00,139.10,120.90
2013-11-14,18083,潤隆三,議價,,,,,,,,,,,,
2013-11-14,18153,富喬三,等價,101.00,+0.30,101.00,101.00,101.00,2,5,"505,000",101.00,101.00,108.05,93.95
2013-11-14,18153,富喬三,議價,,,,,,,,,,,,
2013-11-14,18154,富喬四,等價,97.90,-0.10,97.05,97.90,97.05,4,4,"389,050",97.26,97.90,104.75,91.05
2013-11-14,18154,富喬四,議價,,,,,,,,,,,,
2013-11-14,20065,東鋼五,等價,104.00,,104.00,104.00,104.00,1,5,"520,000",104.00,104.00,111.25,96.75
2013-11-14,20065,東鋼五,議價,,,,,,,,,,,,
2013-11-14,20066,東鋼六,等價,102.50,-0.30,102.50,102.50,102.50,2,10,"1,025,000",102.50,102.50,109.65,95.35
2013-11-14,20066,東鋼六,議價,,,,,,,,,,,,
2013-11-14,20224,聚亨四,等價,,,,,,,,,110.00,110.00,117.70,102.30
2013-11-14,20224,聚亨四,議價,,,,,,,,,,,,
2013-11-14,20592,川湖二,等價,,,,,,,,,164.00,168.00,179.00,157.00
2013-11-14,20592,川湖二,議價,,,,,,,,,,,,
2013-11-14,20611,風青一,等價,,,,,,,,,152.66,120.70,129.10,112.30
2013-11-14,20611,風青一,議價,,,,,,,,,,,,
2013-11-14,21011,南港一,等價,105.40,-0.30,105.40,105.40,105.40,4,52,"5,480,800",105.40,105.40,112.75,98.05
2013-11-14,21011,南港一,議價,,,,,,,,,,,,
2013-11-14,22311,為升一,等價,108.00,,108.00,108.00,108.00,1,4,"432,000",108.00,108.00,115.55,100.45
2013-11-14,22311,為升一,議價,,,,,,,,,,,,
2013-11-14,23323,友訊三,等價,,,,,,,,,98.50,99.30,106.25,92.35
2013-11-14,23323,友訊三,議價,,,,,,,,,,,,
2013-11-14,23472,聯強二,等價,,,,,,,,,99.75,99.75,106.70,92.80
2013-11-14,23472,聯強二,議價,,,,,,,,,,,,
2013-11-14,23532,宏�痐G,等價,94.50,+0.10,94.40,94.50,94.35,12,65,"6,141,300",94.48,94.50,101.10,87.90
2013-11-14,23532,宏�痐G,議價,,,,,,,,,,,,
2013-11-14,23833,台光三,等價,,,,,,,,,123.00,123.00,131.60,114.40
2013-11-14,23833,台光三,議價,,,,,,,,,,,,
2013-11-14,23952,研華二,等價,245.00,,245.00,245.00,245.00,1,1,"245,000",245.00,245.00,262.00,228.00
2013-11-14,23952,研華二,議價,,,,,,,,,,,,
2013-11-14,240601,國碩E1,等價,122.00,-2.95,123.80,123.80,117.50,34,140,"16,755,950",119.68,122.00,130.50,113.50
2013-11-14,240601,國碩E1,議價,,,,,,,,,,,,
2013-11-14,24061,國碩一,等價,,,,,,,,,102.50,102.50,109.65,95.35
2013-11-14,24061,國碩一,議價,,,,,,,,,,,,
2013-11-14,24062,國碩二,等價,108.50,,108.50,108.50,108.50,1,10,"1,085,000",108.50,108.50,116.05,100.95
2013-11-14,24062,國碩二,議價,,,,,,,,,,,,
2013-11-14,24192,仲琦二,等價,,,,,,,,,154.00,154.00,164.00,143.25
2013-11-14,24192,仲琦二,議價,,,,,,,,,,,,
2013-11-14,24193,仲琦三,等價,111.00,-3.00,110.00,111.00,110.00,27,169,"18,597,250",110.04,111.00,118.75,103.25
2013-11-14,24193,仲琦三,議價,,,,,,,,,,,,
2013-11-14,24283,興勤三,等價,,,,,,,,,103.50,103.50,110.70,96.30
2013-11-14,24283,興勤三,議價,,,,,,,,,,,,
2013-11-14,24422,美齊二,等價,,,,,,,,,116.00,116.00,124.10,107.90
2013-11-14,24422,美齊二,議價,,,,,,,,,,,,
2013-11-14,24612,光群二,等價,,,,,,,,,162.00,161.00,172.00,149.75
2013-11-14,24612,光群二,議價,,,,,,,,,,,,
2013-11-14,24622,良得二,等價,,,,,,,,,108.00,108.00,115.55,100.45
2013-11-14,24622,良得二,議價,,,,,,,,,,,,
2013-11-14,24623,良得三,等價,,,,,,,,,108.00,108.00,115.55,100.45
2013-11-14,24623,良得三,議價,,,,,,,,,,,,
2013-11-14,24742,可成二,等價,109.45,-0.05,110.00,110.00,109.00,54,271,"29,636,200",109.35,109.45,117.10,101.80
2013-11-14,24742,可成二,議價,,,,,,,,,,,,
2013-11-14,24781,大毅一,等價,,,,,,,,,104.00,104.00,111.25,96.75
2013-11-14,24781,大毅一,議價,,,,,,,,,,,,
2013-11-14,24816,強茂六,等價,115.80,+2.30,114.20,116.00,114.20,5,16,"1,843,500",115.21,115.80,123.90,107.70
2013-11-14,24816,強茂六,議價,,,,,,,,,,,,
2013-11-14,24817,強茂七,等價,108.30,+0.25,108.05,108.30,107.10,7,14,"1,508,850",107.77,108.30,115.85,100.75
2013-11-14,24817,強茂七,議價,,,,,,,,,,,,
2013-11-14,24894,瑞軒四,等價,,,,,,,,,100.00,100.00,107.00,93.00
2013-11-14,24894,瑞軒四,議價,,,,,,,,,,,,
2013-11-14,24993,東貝三,等價,,,,,,,,,100.10,100.10,107.10,93.10
2013-11-14,24993,東貝三,議價,,,,,,,,,,,,
2013-11-14,25052,國揚二,等價,,,,,,,,,195.00,195.00,208.00,182.00
2013-11-14,25052,國揚二,議價,,,,,,,,,,,,
2013-11-14,25281,皇普一,等價,,,,,,,,,133.50,130.00,139.10,120.90
2013-11-14,25281,皇普一,議價,,,,,,,,,,,,
2013-11-14,25362,宏普二,等價,109.50,,109.50,109.60,109.10,17,78,"8,540,500",109.49,109.50,117.15,101.85
2013-11-14,25362,宏普二,議價,,,,,,,,,,,,
2013-11-14,25372,聯開二,等價,110.00,-4.00,107.05,110.00,106.50,7,41,"4,386,750",106.99,110.00,117.70,102.30
2013-11-14,25372,聯開二,議價,,,,,,,,,,,,
