資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2007-01-08,14371,勤益一,等價,,,,,,,,,233.00,233.00,249.00,217.00
2007-01-08,14371,勤益一,議價,,,,,,,,,,,,
2007-01-08,14671,南緯一,等價,,,,,,,,,142.20,142.20,152.00,132.25
2007-01-08,14671,南緯一,議價,,,,,,,,,,,,
2007-01-08,14771,聚陽一,等價,,,,,,,,,182.85,207.00,221.00,193.00
2007-01-08,14771,聚陽一,議價,,,,,,,,,,,,
2007-01-08,14772,聚陽二,等價,,,,,,,,,177.85,180.00,192.00,168.00
2007-01-08,14772,聚陽二,議價,,,,,,,,,,,,
2007-01-08,15221,堤維一,等價,121.40,+0.05,121.40,121.40,121.40,1,1,"121,400",121.40,121.40,129.85,112.95
2007-01-08,15221,堤維一,議價,,,,,,,,,,,,
2007-01-08,15242,耿鼎二,等價,,,,,,,,,100.00,111.00,118.75,103.25
2007-01-08,15242,耿鼎二,議價,,,,,,,,,,,,
2007-01-08,15291,樂士一,等價,96.00,-0.50,89.75,96.00,89.75,3,3,"281,750",93.91,96.00,102.70,89.30
2007-01-08,15291,樂士一,議價,,,,,,,,,,,,
2007-01-08,15301,亞崴一,等價,,,,,,,,,115.00,137.35,146.95,127.75
2007-01-08,15301,亞崴一,議價,,,,,,,,,,,,
2007-01-08,15323,勤美三,等價,,,,,,,,,307.00,307.00,328.00,286.00
2007-01-08,15323,勤美三,議價,,,,,,,,,,,,
2007-01-08,15331,車王一,等價,,,,,,,,,103.00,106.00,113.40,98.60
2007-01-08,15331,車王一,議價,,,,,,,,,,,,
2007-01-08,15362,和大二,等價,121.75,-0.25,122.35,122.35,116.50,10,31,"3,702,550",119.43,121.75,130.25,113.25
2007-01-08,15362,和大二,議價,,,,,,,,,,,,
2007-01-08,15411,錩泰一,等價,,,,,,,,,104.79,104.80,112.10,97.50
2007-01-08,15411,錩泰一,議價,,,,,,,,,,,,
2007-01-08,15691,濱川一,等價,112.50,,113.50,113.50,108.00,7,7,"777,000",111.00,112.50,120.35,104.65
2007-01-08,15691,濱川一,議價,,,,,,,,,,,,
2007-01-08,16091,大亞1A,等價,178.00,+6.00,172.00,178.00,172.00,4,4,"700,000",175.00,178.00,190.00,166.00
2007-01-08,16091,大亞1A,議價,,,,,,,,,,,,
2007-01-08,16092,大亞1B,等價,,,,,,,,,171.50,172.00,184.00,160.00
2007-01-08,16092,大亞1B,議價,,,,,,,,,,,,
2007-01-08,16093,大亞1C,等價,175.00,+4.00,175.00,175.00,175.00,8,60,"10,500,000",175.00,175.00,187.00,163.00
2007-01-08,16093,大亞1C,議價,,,,,,,,,,,,
2007-01-08,16161,億泰一,等價,,,,,,,,,183.00,183.00,195.00,171.00
2007-01-08,16161,億泰一,議價,,,,,,,,,,,,
2007-01-08,16171,榮星一,等價,123.80,+0.30,123.80,123.80,123.80,1,1,"123,800",123.80,123.80,132.45,115.15
2007-01-08,16171,榮星一,議價,,,,,,,,,,,,
2007-01-08,17851,光洋一,等價,121.05,-4.95,127.00,127.80,121.05,4,18,"2,286,050",127.00,121.05,129.50,112.60
2007-01-08,17851,光洋一,議價,,,,,,,,,,,,
2007-01-08,17871,福盈一,等價,,,,,,,,,115.00,115.00,123.05,106.95
2007-01-08,17871,福盈一,議價,,,,,,,,,,,,
2007-01-08,19021,台紙一,等價,,,,,,,,,144.65,134.85,144.25,125.45
2007-01-08,19021,台紙一,議價,,,,,,,,,,,,
2007-01-08,19022,台紙二,等價,,,,,,,,,131.00,131.00,140.15,121.85
2007-01-08,19022,台紙二,議價,,,,,,,,,,,,
2007-01-08,20062,東鋼二,等價,142.00,+6.35,141.60,142.00,140.90,4,7,"989,900",141.41,142.00,151.00,132.10
2007-01-08,20062,東鋼二,議價,,,,,,,,,,,,
2007-01-08,20063,東鋼三,等價,118.80,+0.60,117.50,118.85,117.50,52,301,"35,581,750",118.21,118.80,127.10,110.50
2007-01-08,20063,東鋼三,議價,,,,,,,,,,,,
2007-01-08,20231,燁輝一,等價,,,,,,,,,110.50,110.50,118.20,102.80
2007-01-08,20231,燁輝一,議價,,,,,,,,,,,,
2007-01-08,20312,新光二,等價,,,,,,,,,105.00,105.00,112.35,97.65
2007-01-08,20312,新光二,議價,,,,,,,,,,,,
2007-01-08,20313,新光三,等價,,,,,,,,,113.30,113.30,121.20,105.40
2007-01-08,20313,新光三,議價,,,,,,,,,,,,
2007-01-08,20341,允強一,等價,,,,,,,,,186.00,186.00,199.00,173.00
2007-01-08,20341,允強一,議價,,,,,,,,,,,,
2007-01-08,20342,允強二,等價,113.00,-2.00,114.00,114.00,113.00,3,8,"909,000",113.62,113.00,120.90,105.10
2007-01-08,20342,允強二,議價,,,,,,,,,,,,
2007-01-08,21071,厚生一,等價,,,,,,,,,184.00,182.00,194.00,170.00
2007-01-08,21071,厚生一,議價,,,,,,,,,,,,
2007-01-08,22012,裕隆二,等價,114.80,-0.70,115.80,115.80,114.80,16,106,"12,181,150",114.91,114.80,122.80,106.80
2007-01-08,22012,裕隆二,議價,,,,,,,,,,,,
2007-01-08,22043,中華三,等價,99.95,-0.05,99.95,99.95,99.95,1,1,"99,950",99.95,99.95,106.90,93.00
2007-01-08,22043,中華三,議價,,,,,,,,,,,,
2007-01-08,23132,華通二,等價,,,,,,,,,132.40,133.00,142.30,123.70
2007-01-08,23132,華通二,議價,,,,,,,,,,,,
2007-01-08,23133,華通三,等價,,,,,,,,,145.00,145.00,155.00,134.85
2007-01-08,23133,華通三,議價,,,,,,,,,,,,
2007-01-08,23141,台揚一,等價,,,,,,,,,110.00,110.00,117.70,102.30
2007-01-08,23141,台揚一,議價,,,,,,,,,,,,
2007-01-08,23153,神達三,等價,105.60,-2.40,105.60,105.60,105.60,1,1,"105,600",105.60,105.60,112.95,98.25
2007-01-08,23153,神達三,議價,,,,,,,,,,,,
2007-01-08,23171,鴻海一,等價,,,,,,,,,100.99,101.00,108.05,93.95
2007-01-08,23171,鴻海一,議價,,,,,,,,,,,,
