TITLE,櫃檯買賣轉(交)換公司債期間利息對照表
DATADATE,年份: 95年
BODY,發行公司,中橡二
BODY,轉換公司債名稱,中橡二
BODY,轉換公司債代號,21041
BODY,發行日期,910627
BODY,票面利率,5
BODY,計算週期, 12個月
BODY,債息計算起始日,910627
BODY,債息基準日,0831
BODY,06,0.8767,1.0890,1.2808,1.4931,1.6986,1.9109,2.1164,2.3287,0.0410,0.2465,0.4589,0.6643
BODY,07,0.8835,1.0958,1.2876,1.5000,1.7054,1.9178,2.1232,2.3356,0.0479,0.2534,0.4657,0.6712
BODY,08,0.8904,1.1027,1.2945,1.5068,1.7123,1.9246,2.1301,2.3424,0.0547,0.2602,0.4726,0.6780
BODY,09,0.8972,1.1095,1.3013,1.5136,1.7191,1.9315,2.1369,2.3493,0.0616,0.2671,0.4794,0.6849
BODY,10,0.9041,1.1164,1.3082,1.5205,1.7260,1.9383,2.1438,2.3561,0.0684,0.2739,0.4863,0.6917
BODY,11,0.9109,1.1232,1.3150,1.5273,1.7328,1.9452,2.1506,2.3630,0.0753,0.2808,0.4931,0.6986
BODY,12,0.9178,1.1301,1.3219,1.5342,1.7397,1.9520,2.1575,2.3698,0.0821,0.2876,0.5000,0.7054
BODY,13,0.9246,1.1369,1.3287,1.5410,1.7465,1.9589,2.1643,2.3767,0.0890,0.2945,0.5068,0.7123
BODY,14,0.9315,1.1438,1.3356,1.5479,1.7534,1.9657,2.1712,2.3835,0.0958,0.3013,0.5136,0.7191
BODY,15,0.9383,1.1506,1.3424,1.5547,1.7602,1.9726,2.1780,2.3904,0.1027,0.3082,0.5205,0.7260
BODY,16,0.9452,1.1575,1.3493,1.5616,1.7671,1.9794,2.1849,2.3972,0.1095,0.3150,0.5273,0.7328
BODY,17,0.9520,1.1643,1.3561,1.5684,1.7739,1.9863,2.1917,2.4041,0.1164,0.3219,0.5342,0.7397
BODY,18,0.9589,1.1712,1.3630,1.5753,1.7808,1.9931,2.1986,2.4109,0.1232,0.3287,0.5410,0.7465
BODY,19,0.9657,1.1780,1.3698,1.5821,1.7876,2.0000,2.2054,2.4178,0.1301,0.3356,0.5479,0.7534
BODY,20,0.9726,1.1849,1.3767,1.5890,1.7945,2.0068,2.2123,2.4246,0.1369,0.3424,0.5547,0.7602
