TITLE,櫃檯買賣轉(交)換公司債期間利息對照表
DATADATE,年份:101年
BODY,發行公司,富喬二
BODY,轉換公司債名稱,富喬二
BODY,轉換公司債代號,18152
BODY,發行日期,970815
BODY,票面利率,3
BODY,計算週期, 12個月
BODY,債息計算起始日,1001012
BODY,債息基準日,0
BODY,06,1.0655,1.1926,1.3114,1.4385,0.0616,0.1890,0.3123,0.4397,0.5671,0.6904,0.8178,0.9410
BODY,07,1.0696,1.1967,1.3155,1.4426,0.0657,0.1931,0.3164,0.4438,0.5712,0.6945,0.8219,0.9452
BODY,08,1.0737,1.2008,1.3196,1.4467,0.0698,0.1972,0.3205,0.4479,0.5753,0.6986,0.8260,0.9493
BODY,09,1.0778,1.2049,1.3237,1.4508,0.0739,0.2013,0.3246,0.4520,0.5794,0.7027,0.8301,0.9534
BODY,10,1.0819,1.2090,1.3278,1.4549,0.0780,0.2054,0.3287,0.4561,0.5835,0.7068,0.8342,0.9575
BODY,11,1.0860,1.2131,1.3319,1.4590,0.0821,0.2095,0.3328,0.4602,0.5876,0.7109,0.8383,0.9616
BODY,12,1.0901,1.2172,1.3360,1.4631,0.0863,0.2136,0.3369,0.4643,0.5917,0.7150,0.8424,0.9657
BODY,13,1.0942,1.2213,1.3401,1.4672,0.0904,0.2178,0.3410,0.4684,0.5958,0.7191,0.8465,0.9698
BODY,14,1.0983,1.2254,1.3442,1.4713,0.0945,0.2219,0.3452,0.4726,0.6000,0.7232,0.8506,0.9739
BODY,15,1.1024,1.2295,1.3483,1.4754,0.0986,0.2260,0.3493,0.4767,0.6041,0.7273,0.8547,0.9780
BODY,16,1.1065,1.2336,1.3524,1.4795,0.1027,0.2301,0.3534,0.4808,0.6082,0.7315,0.8589,0.9821
BODY,17,1.1106,1.2377,1.3565,1.4836,0.1068,0.2342,0.3575,0.4849,0.6123,0.7356,0.8630,0.9863
BODY,18,1.1147,1.2418,1.3606,1.4877,0.1109,0.2383,0.3616,0.4890,0.6164,0.7397,0.8671,0.9904
BODY,19,1.1188,1.2459,1.3647,1.4918,0.1150,0.2424,0.3657,0.4931,0.6205,0.7438,0.8712,0.9945
BODY,20,1.1229,1.2500,1.3688,1.4959,0.1191,0.2465,0.3698,0.4972,0.6246,0.7479,0.8753,0.9986
BODY,21,1.1270,1.2540,1.3729,1.5000,0.1232,0.2506,0.3739,0.5013,0.6287,0.7520,0.8794,1.0027
BODY,22,1.1311,1.2581,1.3770,0.0041,0.1273,0.2547,0.3780,0.5054,0.6328,0.7561,0.8835,1.0068
BODY,23,1.1352,1.2622,1.3811,0.0082,0.1315,0.2589,0.3821,0.5095,0.6369,0.7602,0.8876,1.0109
