資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2021-11-25,12582,其祥二KY,等價,,,,,,,,,96.10,98.95,108.80,89.10
2021-11-25,12582,其祥二KY,議價,,,,,,,,,,,,
2021-11-25,13164,上曜四,等價,149.70,+2.25,150.00,155.00,144.10,42,147,"22,432,000",152.59,149.70,164.00,134.75
2021-11-25,13164,上曜四,議價,,,,,,,,,,,,
2021-11-25,13165,上曜五,等價,193.00,+4.00,193.00,196.00,190.00,11,23,"4,444,000",193.21,193.00,212.00,174.00
2021-11-25,13165,上曜五,議價,,,,,,,,,,,,
2021-11-25,13381,廣華一KY,等價,103.90,+1.10,103.90,103.90,103.90,1,2,"207,800",103.90,103.90,114.25,93.55
2021-11-25,13381,廣華一KY,議價,,,,,,,,,,,,
2021-11-25,13411,富林一KY,等價,104.10,-0.40,104.50,104.50,104.10,5,5,"521,400",104.28,104.10,114.50,93.70
2021-11-25,13411,富林一KY,議價,,,,,,,,,,,,
2021-11-25,14361,華友聯一,等價,,,,,,,,,157.06,156.00,171.00,140.40
2021-11-25,14361,華友聯一,議價,,,,,,,,,,,,
2021-11-25,14362,華友聯二,等價,,,,,,,,,140.10,140.10,154.00,126.10
2021-11-25,14362,華友聯二,議價,,,,,,,,,,,,
2021-11-25,14721,三洋實業一,等價,,,,,,,,,100.20,100.15,110.15,90.15
2021-11-25,14721,三洋實業一,議價,,,,,,,,,,,,
2021-11-25,15132,中興電二,等價,114.50,-0.20,114.45,114.50,114.00,11,142,"16,253,750",114.46,114.50,125.95,103.05
2021-11-25,15132,中興電二,議價,,,,,,,,,,,,
2021-11-25,15696,濱川六,等價,,,,,,,,,128.90,128.90,141.75,116.05
2021-11-25,15696,濱川六,議價,,,,,,,,,,,,
2021-11-25,15823,信錦三,等價,116.25,-0.20,116.20,116.40,116.10,12,37,"4,298,750",116.18,116.25,127.85,104.65
2021-11-25,15823,信錦三,議價,,,,,,,,,,,,
2021-11-25,15862,和勤二,等價,118.50,-0.50,118.80,118.80,118.50,2,4,"474,300",118.57,118.50,130.35,106.65
2021-11-25,15862,和勤二,議價,,,,,,,,,,,,
2021-11-25,15863,和勤三,等價,,,,,,,,,108.06,107.80,118.55,97.05
2021-11-25,15863,和勤三,議價,,,,,,,,,,,,
2021-11-25,15893,永冠三KY,等價,,,,,,,,,99.90,99.90,109.85,89.95
2021-11-25,15893,永冠三KY,議價,,,,,,,,,,,,
2021-11-25,15932,祺驊二,等價,,,,,,,,,170.00,168.00,184.00,152.00
2021-11-25,15932,祺驊二,議價,,,,,,,,,,,,
2021-11-25,15982,岱宇二,等價,111.00,+0.45,111.00,111.00,111.00,1,2,"222,000",111.00,111.00,122.10,99.90
2021-11-25,15982,岱宇二,議價,,,,,,,,,,,,
2021-11-25,15983,岱宇三,等價,105.00,-0.20,105.20,105.20,105.00,2,6,"631,000",105.16,105.00,115.50,94.50
2021-11-25,15983,岱宇三,議價,,,,,,,,,,,,
2021-11-25,16094,大亞四,等價,113.00,+0.30,112.70,113.10,112.70,41,195,"22,007,050",112.85,113.00,124.30,101.70
2021-11-25,16094,大亞四,議價,,,,,,,,,,,,
2021-11-25,16263,艾美特三KY,等價,,,,,,,,,104.23,104.05,114.45,93.65
2021-11-25,16263,艾美特三KY,議價,,,,,,,,,,,,
2021-11-25,16264,艾美特四KY,等價,94.05,+0.05,94.05,94.05,94.00,4,5,"470,100",94.02,94.05,103.45,84.65
2021-11-25,16264,艾美特四KY,議價,,,,,,,,,,,,
2021-11-25,17861,科妍一,等價,,,,,,,,,100.50,100.65,110.70,90.60
2021-11-25,17861,科妍一,議價,,,,,,,,,,,,
2021-11-25,17881,杏昌一,等價,,,,,,,,,152.00,153.00,168.00,137.70
2021-11-25,17881,杏昌一,議價,,,,,,,,,,,,
2021-11-25,17961,金穎生技一,等價,,,,,,,,,101.60,101.60,111.75,91.45
2021-11-25,17961,金穎生技一,議價,,,,,,,,,,,,
2021-11-25,18051,寶徠一,等價,110.20,-0.60,110.50,110.50,110.20,3,8,"882,700",110.33,110.20,121.20,99.20
2021-11-25,18051,寶徠一,議價,,,,,,,,,,,,
2021-11-25,18155,富喬五,等價,106.75,-0.25,107.00,107.00,106.75,13,49,"5,234,000",106.81,106.75,117.40,96.10
2021-11-25,18155,富喬五,議價,,,,,,,,,,,,
2021-11-25,18156,富喬六,等價,112.00,+0.20,112.00,112.00,112.00,2,6,"672,000",112.00,112.00,123.20,100.80
2021-11-25,18156,富喬六,議價,,,,,,,,,,,,
2021-11-25,20343,允強三,等價,131.60,+0.10,131.60,131.60,131.60,1,1,"131,600",131.60,131.60,144.75,118.45
2021-11-25,20343,允強三,議價,,,,,,,,,,,,
2021-11-25,20631,世鎧一,等價,114.95,+0.45,115.00,115.00,114.95,2,6,"689,750",114.95,114.95,126.40,103.50
2021-11-25,20631,世鎧一,議價,,,,,,,,,,,,
2021-11-25,20651,世豐一,等價,145.10,+0.10,145.10,145.10,145.10,2,2,"290,200",145.10,145.10,159.00,130.60
2021-11-25,20651,世豐一,議價,,,,,,,,,,,,
2021-11-25,20694,運錩四,等價,122.75,+11.15,122.75,122.75,122.75,38,91,"11,170,250",122.75,122.75,135.00,110.50
2021-11-25,20694,運錩四,議價,,,,,,,,,,,,
2021-11-25,22081,台船一,等價,116.00,+0.20,116.00,116.00,116.00,2,3,"348,000",116.00,116.00,127.60,104.40
2021-11-25,22081,台船一,議價,,,,,,,,,,,,
2021-11-25,22282,劍麟二,等價,,,,,,,,,107.60,107.70,118.45,96.95
2021-11-25,22282,劍麟二,議價,,,,,,,,,,,,
2021-11-25,22393,英利三KY,等價,123.00,+1.50,121.50,123.00,121.50,57,101,"12,379,750",122.57,123.00,135.30,110.70
2021-11-25,22393,英利三KY,議價,,,,,,,,,,,,
2021-11-25,22431,宏旭一KY,等價,104.00,-0.60,104.00,105.10,104.00,27,46,"4,814,900",104.67,104.00,114.40,93.60
2021-11-25,22431,宏旭一KY,議價,,,,,,,,,,,,
2021-11-25,23383,光罩三,等價,117.10,-0.90,121.00,121.00,116.00,34,93,"10,947,050",118.88,117.10,128.80,105.40
2021-11-25,23383,光罩三,議價,121.00,+3.00,,121.00,118.95,2,100,"11,997,500",,,,
2021-11-25,24392,美律二,等價,,,,,,,,,99.65,99.70,109.65,89.75
2021-11-25,24392,美律二,議價,,,,,,,,,,,,
2021-11-25,24393,美律三,等價,108.85,+0.85,108.00,108.90,108.00,72,237,"25,758,300",108.68,108.85,119.70,98.00
2021-11-25,24393,美律三,議價,,,,,,,,,,,,
2021-11-25,24566,奇力新六,等價,105.65,+0.95,105.00,106.05,105.00,76,226,"23,899,900",105.75,105.65,116.20,95.10
2021-11-25,24566,奇力新六,議價,,,,,,,,,,,,
2021-11-25,24616,光群雷六,等價,129.00,+0.25,130.00,134.00,128.80,40,89,"11,772,200",132.27,129.00,141.90,116.10
2021-11-25,24616,光群雷六,議價,,,,,,,,,,,,
2021-11-25,24663,冠西電三,等價,110.60,-1.90,110.60,110.60,110.60,1,1,"110,600",110.60,110.60,121.65,99.55
2021-11-25,24663,冠西電三,議價,,,,,,,,,,,,
2021-11-25,24722,立隆電二,等價,168.00,+3.00,168.00,168.00,168.00,3,4,"672,000",168.00,168.00,184.00,152.00
2021-11-25,24722,立隆電二,議價,,,,,,,,,,,,
2021-11-25,24723,立隆電三,等價,,,,,,,,,155.00,154.00,169.00,138.60
2021-11-25,24723,立隆電三,議價,,,,,,,,,,,,
2021-11-25,24822,連宇二,等價,120.00,,120.00,121.00,120.00,15,23,"2,764,550",120.40,120.00,132.00,108.00
2021-11-25,24822,連宇二,議價,120.50,+0.50,,120.50,120.50,2,47,"5,663,500",,,,
2021-11-25,24921,華新科一,等價,110.40,,110.45,110.95,110.40,41,128,"14,172,050",110.71,110.40,121.40,99.40
2021-11-25,24921,華新科一,議價,,,,,,,,,,,,
2021-11-25,25282,皇普二,等價,,,,,,,,,125.18,126.00,138.60,113.40
2021-11-25,25282,皇普二,議價,,,,,,,,,,,,
2021-11-25,25391,櫻花建一,等價,,,,,,,,,156.00,156.00,171.00,140.40
2021-11-25,25391,櫻花建一,議價,,,,,,,,,,,,
2021-11-25,25392,櫻花建二,等價,,,,,,,,,160.00,160.00,176.00,144.00
2021-11-25,25392,櫻花建二,議價,,,,,,,,,,,,
2021-11-25,25425,興富發五,等價,130.45,+0.55,131.50,132.00,130.00,243,"1,115","145,600,700",130.58,130.45,143.45,117.45
2021-11-25,25425,興富發五,議價,,,,,,,,,,,,
2021-11-25,26034,長榮四,等價,141.85,+2.05,140.00,143.50,140.00,132,552,"78,443,800",142.12,141.85,156.00,127.70
2021-11-25,26034,長榮四,議價,142.60,+2.80,,142.60,142.60,1,14,"1,996,400",,,,
2021-11-25,26106,華航六,等價,233.00,-3.00,239.00,244.00,233.00,50,164,"39,240,000",239.26,233.00,256.00,210.00
