資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2018-09-19,12582,其祥二KY,等價,90.65,,91.95,91.95,90.65,2,2,"182,600",91.30,90.65,99.70,81.60
2018-09-19,12582,其祥二KY,議價,,,,,,,,,,,,
2018-09-19,14423,名軒三,等價,140.00,,140.00,140.00,140.00,3,23,"3,220,000",140.00,140.00,154.00,126.00
2018-09-19,14423,名軒三,議價,,,,,,,,,,,,
2018-09-19,15302,亞崴二,等價,,,,,,,,,103.00,103.55,113.90,93.20
2018-09-19,15302,亞崴二,議價,,,,,,,,,,,,
2018-09-19,15831,程泰一,等價,,,,,,,,,99.25,99.25,109.15,89.35
2018-09-19,15831,程泰一,議價,,,,,,,,,,,,
2018-09-19,15891,永冠一KY,等價,,,,,,,,,102.55,107.10,117.80,96.40
2018-09-19,15891,永冠一KY,議價,,,,,,,,,,,,
2018-09-19,15892,永冠二KY,等價,,,,,,,,,101.40,101.40,111.50,91.30
2018-09-19,15892,永冠二KY,議價,,,,,,,,,,,,
2018-09-19,15981,岱宇一,等價,104.00,,104.00,104.00,104.00,2,11,"1,144,000",104.00,104.00,114.40,93.60
2018-09-19,15981,岱宇一,議價,,,,,,,,,,,,
2018-09-19,16262,艾美特二KY,等價,101.60,+0.10,101.50,101.60,101.50,3,8,"812,600",101.57,101.60,111.75,91.45
2018-09-19,16262,艾美特二KY,議價,,,,,,,,,,,,
2018-09-19,17091,和益一,等價,,,,,,,,,161.00,164.00,180.00,147.60
2018-09-19,17091,和益一,議價,,,,,,,,,,,,
2018-09-19,17301,花仙子一,等價,,,,,,,,,159.71,160.00,176.00,144.00
2018-09-19,17301,花仙子一,議價,,,,,,,,,,,,
2018-09-19,17333,五鼎三,等價,105.85,+0.35,105.50,105.85,105.50,12,53,"5,600,050",105.66,105.85,116.40,95.30
2018-09-19,17333,五鼎三,議價,,,,,,,,,,,,
2018-09-19,17991,易威一,等價,,,,,,,,,106.00,106.00,116.60,95.40
2018-09-19,17991,易威一,議價,,,,,,,,,,,,
2018-09-19,18155,富喬五,等價,108.40,-0.20,108.50,108.50,107.00,6,72,"7,727,350",107.32,108.40,119.20,97.60
2018-09-19,18155,富喬五,議價,,,,,,,,,,,,
2018-09-19,20067,東和鋼鐵七,等價,102.60,+0.30,102.50,102.65,102.50,42,421,"43,189,450",102.58,102.60,112.85,92.35
2018-09-19,20067,東和鋼鐵七,議價,,,,,,,,,,,,
2018-09-19,20315,新光鋼五,等價,118.85,+0.65,118.80,119.40,117.50,35,95,"11,237,250",118.28,118.85,130.70,107.00
2018-09-19,20315,新光鋼五,議價,,,,,,,,,,,,
2018-09-19,20691,運錩一,等價,,,,,,,,,149.62,152.00,167.00,136.80
2018-09-19,20691,運錩一,議價,,,,,,,,,,,,
2018-09-19,20693,運錩三,等價,96.55,+1.55,96.00,96.60,96.00,37,301,"29,007,350",96.37,96.55,106.20,86.90
2018-09-19,20693,運錩三,議價,96.55,+1.55,,96.55,96.55,1,16,"1,544,800",,,,
2018-09-19,22301,泰茂一,等價,,,,,,,,,101.45,101.45,111.55,91.35
2018-09-19,22301,泰茂一,議價,,,,,,,,,,,,
