資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2024-02-02,13164,上曜四,等價,123.20,+0.20,123.30,123.30,123.20,2,3,"369,800",123.26,123.20,135.50,110.90
2024-02-02,13164,上曜四,議價,,,,,,,,,,,,
2024-02-02,13381,廣華一KY,等價,,,,,,,,,101.35,101.35,111.45,91.25
2024-02-02,13381,廣華一KY,議價,,,,,,,,,,,,
2024-02-02,13382,廣華二KY,等價,106.80,,106.80,106.80,106.80,1,2,"213,600",106.80,106.80,117.45,96.15
2024-02-02,13382,廣華二KY,議價,,,,,,,,,,,,
2024-02-02,13411,富林一KY,等價,,,,,,,,,102.25,102.30,112.50,92.10
2024-02-02,13411,富林一KY,議價,,,,,,,,,,,,
2024-02-02,13421,八貫一,等價,,,,,,,,,184.50,186.00,204.00,168.00
2024-02-02,13421,八貫一,議價,,,,,,,,,,,,
2024-02-02,14361,華友聯一,等價,,,,,,,,,272.00,272.00,299.00,245.00
2024-02-02,14361,華友聯一,議價,,,,,,,,,,,,
2024-02-02,14362,華友聯二,等價,,,,,,,,,243.00,243.00,267.00,219.00
2024-02-02,14362,華友聯二,議價,,,,,,,,,,,,
2024-02-02,14742,弘裕二,等價,,,,,,,,,100.70,100.70,110.75,90.65
2024-02-02,14742,弘裕二,議價,,,,,,,,,,,,
2024-02-02,15141,亞力一,等價,129.40,-4.80,132.50,132.50,129.40,19,24,"3,124,450",130.18,129.40,142.30,116.50
2024-02-02,15141,亞力一,議價,,,,,,,,,,,,
2024-02-02,15261,日馳一,等價,,,,,,,,,96.97,96.95,106.60,87.30
2024-02-02,15261,日馳一,議價,,,,,,,,,,,,
2024-02-02,15324,勤美四,等價,128.00,-0.10,127.70,128.15,127.70,10,21,"2,688,250",128.01,128.00,140.80,115.20
2024-02-02,15324,勤美四,議價,,,,,,,,,,,,
2024-02-02,15332,車王電二,等價,96.85,,96.75,96.85,96.75,9,20,"1,935,700",96.78,96.85,106.50,87.20
2024-02-02,15332,車王電二,議價,,,,,,,,,,,,
2024-02-02,15823,信錦三,等價,132.95,+0.95,132.00,133.30,132.00,18,47,"6,256,300",133.11,132.95,146.20,119.70
2024-02-02,15823,信錦三,議價,,,,,,,,,,,,
2024-02-02,15864,和勤四,等價,110.50,+1.50,110.50,110.50,110.50,2,3,"331,500",110.50,110.50,121.55,99.45
2024-02-02,15864,和勤四,議價,,,,,,,,,,,,
2024-02-02,15865,和勤五,等價,,,,,,,,,102.43,102.95,113.20,92.70
2024-02-02,15865,和勤五,議價,,,,,,,,,,,,
2024-02-02,15893,永冠三KY,等價,,,,,,,,,96.45,96.45,106.05,86.85
2024-02-02,15893,永冠三KY,議價,,,,,,,,,,,,
2024-02-02,15894,永冠四KY,等價,,,,,,,,,98.60,98.60,108.45,88.75
2024-02-02,15894,永冠四KY,議價,,,,,,,,,,,,
2024-02-02,15983,岱宇三,等價,,,,,,,,,99.00,99.00,108.90,89.10
2024-02-02,15983,岱宇三,議價,,,,,,,,,,,,
2024-02-02,15991,宏佳騰一,等價,,,,,,,,,103.85,103.95,114.30,93.60
2024-02-02,15991,宏佳騰一,議價,,,,,,,,,,,,
2024-02-02,16173,榮星三,等價,,,,,,,,,103.10,103.10,113.40,92.80
2024-02-02,16173,榮星三,議價,,,,,,,,,,,,
