資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2024-05-03,13164,上曜四,等價,161.00,+3.00,158.00,162.00,157.00,10,18,"2,861,000",158.94,161.00,177.00,144.90
2024-05-03,13164,上曜四,議價,,,,,,,,,,,,
2024-05-03,13382,廣華二KY,等價,,,,,,,,,101.77,102.20,112.40,92.00
2024-05-03,13382,廣華二KY,議價,,,,,,,,,,,,
2024-05-03,13411,富林一KY,等價,,,,,,,,,101.50,101.50,111.65,91.35
2024-05-03,13411,富林一KY,議價,,,,,,,,,,,,
2024-05-03,13421,八貫一,等價,,,,,,,,,199.00,198.00,217.00,179.00
2024-05-03,13421,八貫一,議價,,,,,,,,,,,,
2024-05-03,14361,華友聯一,等價,506.00,+46.00,495.00,506.00,495.00,2,2,"1,001,000",500.50,506.00,556.00,456.00
2024-05-03,14361,華友聯一,議價,,,,,,,,,,,,
2024-05-03,14362,華友聯二,等價,455.00,+35.00,435.00,460.00,435.00,4,4,"1,795,000",448.75,455.00,500.00,410.00
2024-05-03,14362,華友聯二,議價,,,,,,,,,,,,
2024-05-03,14742,弘裕二,等價,105.10,+0.90,105.00,105.10,105.00,3,5,"525,200",105.04,105.10,115.60,94.60
2024-05-03,14742,弘裕二,議價,,,,,,,,,,,,
2024-05-03,15141,亞力一,等價,,,,,,,,,235.00,220.00,242.00,198.00
2024-05-03,15141,亞力一,議價,,,,,,,,,,,,
2024-05-03,15261,日馳一,等價,102.20,-0.20,102.60,102.60,102.20,11,21,"2,150,150",102.38,102.20,112.40,92.00
2024-05-03,15261,日馳一,議價,,,,,,,,,,,,
2024-05-03,15324,勤美四,等價,178.00,+10.00,168.00,179.00,161.00,168,476,"80,063,000",168.19,178.00,195.00,161.00
2024-05-03,15324,勤美四,議價,,,,,,,,,,,,
2024-05-03,15332,車王電二,等價,98.05,-0.50,98.10,98.25,98.05,17,30,"2,942,200",98.07,98.05,107.85,88.25
2024-05-03,15332,車王電二,議價,,,,,,,,,,,,
2024-05-03,15823,信錦三,等價,153.00,-4.00,153.00,153.00,153.00,1,2,"306,000",153.00,153.00,168.00,137.70
2024-05-03,15823,信錦三,議價,,,,,,,,,,,,
2024-05-03,15864,和勤四,等價,111.40,+0.40,111.40,111.40,111.40,1,1,"111,400",111.40,111.40,122.50,100.30
2024-05-03,15864,和勤四,議價,,,,,,,,,,,,
2024-05-03,15865,和勤五,等價,104.10,,104.10,104.10,104.10,1,1,"104,100",104.10,104.10,114.50,93.70
2024-05-03,15865,和勤五,議價,,,,,,,,,,,,
2024-05-03,15893,永冠三KY,等價,,,,,,,,,101.00,101.00,111.10,90.90
2024-05-03,15893,永冠三KY,議價,,,,,,,,,,,,
2024-05-03,15894,永冠四KY,等價,97.70,-0.20,97.80,97.80,97.70,4,4,"391,000",97.75,97.70,107.45,87.95
2024-05-03,15894,永冠四KY,議價,,,,,,,,,,,,
2024-05-03,15983,岱宇三,等價,,,,,,,,,99.00,99.20,109.10,89.30
2024-05-03,15983,岱宇三,議價,,,,,,,,,,,,
2024-05-03,15991,宏佳騰一,等價,,,,,,,,,102.95,103.00,113.30,92.70
2024-05-03,15991,宏佳騰一,議價,,,,,,,,,,,,
2024-05-03,16173,榮星三,等價,135.05,-2.00,140.00,140.00,135.05,2,6,"820,200",136.70,135.05,148.55,121.55
2024-05-03,16173,榮星三,議價,,,,,,,,,,,,
2024-05-03,17271,中華化一,等價,,,,,,,,,116.00,114.00,125.40,102.60
2024-05-03,17271,中華化一,議價,,,,,,,,,,,,
2024-05-03,17862,科妍二,等價,220.00,-20.00,220.00,220.00,220.00,6,8,"1,760,000",220.00,220.00,242.00,198.00
2024-05-03,17862,科妍二,議價,,,,,,,,,,,,
2024-05-03,18051,寶徠一,等價,115.55,+1.55,116.50,117.00,115.55,8,11,"1,281,400",116.49,115.55,127.10,104.00
2024-05-03,18051,寶徠一,議價,,,,,,,,,,,,
2024-05-03,18156,富喬六,等價,,,,,,,,,134.00,134.00,147.40,120.60
2024-05-03,18156,富喬六,議價,,,,,,,,,,,,
2024-05-03,19094,榮成四,等價,98.80,,98.80,98.80,98.80,9,32,"3,161,600",98.80,98.80,108.65,88.95
2024-05-03,19094,榮成四,議價,,,,,,,,,,,,
2024-05-03,20121,春雨一,等價,,,,,,,,,103.90,103.85,114.20,93.50
2024-05-03,20121,春雨一,議價,,,,,,,,,,,,
2024-05-03,20122,春雨二,等價,,,,,,,,,103.11,103.45,113.75,93.15
2024-05-03,20122,春雨二,議價,,,,,,,,,,,,
2024-05-03,20123,春雨三,等價,103.95,+0.45,103.95,103.95,103.95,1,1,"103,950",103.95,103.95,114.30,93.60
2024-05-03,20123,春雨三,議價,,,,,,,,,,,,
2024-05-03,20343,允強三,等價,,,,,,,,,117.00,117.00,128.70,105.30
2024-05-03,20343,允強三,議價,,,,,,,,,,,,
2024-05-03,20612,風青二,等價,120.10,+5.85,120.00,120.10,120.00,17,39,"4,681,000",120.02,120.10,132.10,108.10
2024-05-03,20612,風青二,議價,,,,,,,,,,,,
2024-05-03,20632,世鎧二,等價,116.15,-0.85,117.20,117.20,113.40,13,17,"1,981,200",116.54,116.15,127.75,104.55
2024-05-03,20632,世鎧二,議價,,,,,,,,,,,,
2024-05-03,20652,世豐二,等價,130.25,+0.25,130.00,130.25,130.00,2,2,"260,250",130.12,130.25,143.25,117.25
2024-05-03,20652,世豐二,議價,,,,,,,,,,,,
2024-05-03,20661,世德一,等價,,,,,,,,,249.33,246.00,270.00,222.00
2024-05-03,20661,世德一,議價,,,,,,,,,,,,
2024-05-03,20662,世德二,等價,146.30,-1.50,149.50,150.00,146.30,15,20,"2,962,400",148.12,146.30,160.00,131.70
2024-05-03,20662,世德二,議價,,,,,,,,,,,,
2024-05-03,21043,國際中橡三,等價,103.25,,103.40,103.40,103.25,13,31,"3,202,250",103.29,103.25,113.55,92.95
2024-05-03,21043,國際中橡三,議價,,,,,,,,,,,,
2024-05-03,22013,裕隆三,等價,109.00,+2.25,107.00,109.30,106.70,418,"1,845","198,944,000",107.82,109.00,119.90,98.10
2024-05-03,22013,裕隆三,議價,,,,,,,,,,,,
2024-05-03,22081,台船一,等價,108.60,-0.60,109.00,109.00,108.60,3,7,"762,600",108.94,108.60,119.45,97.75
2024-05-03,22081,台船一,議價,,,,,,,,,,,,
2024-05-03,22304,泰茂四,等價,,,,,,,,,466.44,660.00,726.00,594.00
2024-05-03,22304,泰茂四,議價,,,,,,,,,,,,
2024-05-03,22313,為升三,等價,112.30,-0.20,112.30,112.30,112.30,1,5,"561,500",112.30,112.30,123.50,101.10
2024-05-03,22313,為升三,議價,,,,,,,,,,,,
2024-05-03,22362,百達二KY,等價,,,,,,,,,121.50,121.80,133.95,109.65
2024-05-03,22362,百達二KY,議價,,,,,,,,,,,,
2024-05-03,22393,英利三KY,等價,,,,,,,,,102.17,102.20,112.40,92.00
2024-05-03,22393,英利三KY,議價,,,,,,,,,,,,
2024-05-03,22501,IKKA一KY,等價,125.00,+1.00,124.00,125.00,124.00,16,80,"9,996,000",124.95,125.00,137.50,112.50
2024-05-03,22501,IKKA一KY,議價,,,,,,,,,,,,
2024-05-03,23383,光罩三,等價,,,,,,,,,101.25,101.25,111.35,91.15
2024-05-03,23383,光罩三,議價,,,,,,,,,,,,
2024-05-03,23682,金像電二,等價,115.60,-0.50,116.50,116.80,115.15,74,156,"18,042,800",115.65,115.60,127.15,104.05
2024-05-03,23682,金像電二,議價,,,,,,,,,,,,
2024-05-03,23835,台光電五,等價,,,,,,,,,176.43,172.00,189.00,155.00
2024-05-03,23835,台光電五,議價,,,,,,,,,,,,
2024-05-03,24271,三商電一,等價,111.15,-0.85,112.00,112.00,111.15,3,3,"335,150",111.92,111.15,122.25,100.05
2024-05-03,24271,三商電一,議價,112.00,,,112.00,112.00,1,8,"896,000",,,,
2024-05-03,24361,偉詮電一,等價,116.40,+0.50,116.35,116.40,116.00,11,116,"13,460,700",116.04,116.40,128.00,104.80
2024-05-03,24361,偉詮電一,議價,,,,,,,,,,,,
2024-05-03,24393,美律三,等價,116.15,+0.55,115.60,116.70,115.55,83,192,"22,277,950",116.03,116.15,127.75,104.55
2024-05-03,24393,美律三,議價,,,,,,,,,,,,
2024-05-03,24616,光群雷六,等價,,,,,,,,,141.35,157.00,172.00,141.30
2024-05-03,24616,光群雷六,議價,,,,,,,,,,,,
2024-05-03,24624,良得電四,等價,116.50,+0.30,116.50,116.55,116.50,5,6,"699,050",116.50,116.50,128.15,104.85
2024-05-03,24624,良得電四,議價,,,,,,,,,,,,
2024-05-03,24762,鉅祥二,等價,121.50,-0.50,121.20,121.50,121.00,9,36,"4,366,450",121.29,121.50,133.65,109.35
2024-05-03,24762,鉅祥二,議價,,,,,,,,,,,,
2024-05-03,24972,怡利電二,等價,109.00,-0.40,109.00,109.00,109.00,2,2,"218,000",109.00,109.00,119.90,98.10
2024-05-03,24972,怡利電二,議價,,,,,,,,,,,,
2024-05-03,25282,皇普二,等價,255.00,+5.00,249.00,256.00,249.00,6,6,"1,524,000",254.00,255.00,280.00,230.00
2024-05-03,25282,皇普二,議價,,,,,,,,,,,,
2024-05-03,26034,長榮四,等價,173.00,-2.00,174.00,175.00,173.00,45,82,"14,241,000",173.67,173.00,190.00,156.00
2024-05-03,26034,長榮四,議價,,,,,,,,,,,,
2024-05-03,26107,華航七,等價,126.00,,126.00,127.00,125.50,20,120,"15,128,850",126.07,126.00,138.60,113.40
2024-05-03,26107,華航七,議價,,,,,,,,,,,,
2024-05-03,26415,正德五,等價,,,,,,,,,115.05,115.05,126.55,103.55
2024-05-03,26415,正德五,議價,,,,,,,,,,,,
2024-05-03,26416,正德六,等價,,,,,,,,,125.00,126.00,138.60,113.40
2024-05-03,26416,正德六,議價,,,,,,,,,,,,
2024-05-03,27271,王品一,等價,111.35,+0.35,111.60,111.70,110.00,12,45,"4,978,650",110.63,111.35,122.45,100.25
2024-05-03,27271,王品一,議價,,,,,,,,,,,,
2024-05-03,27323,六角三,等價,125.50,,125.35,125.50,125.35,5,15,"1,882,100",125.47,125.50,138.05,112.95
2024-05-03,27323,六角三,議價,,,,,,,,,,,,
2024-05-03,288701,台新金E1,等價,104.80,+0.15,105.00,105.00,104.80,4,31,"3,252,000",104.90,104.80,115.25,94.35
2024-05-03,288701,台新金E1,議價,,,,,,,,,,,,
2024-05-03,28887,新光金六,等價,104.30,,104.30,104.55,104.30,53,372,"38,836,950",104.40,104.30,114.70,93.90
2024-05-03,28887,新光金六,議價,,,,,,,,,,,,
2024-05-03,29051,三商一,等價,,,,,,,,,100.00,99.95,109.90,90.00
2024-05-03,29051,三商一,議價,,,,,,,,,,,,
2024-05-03,29061,高林一,等價,125.00,-0.95,125.05,125.05,124.00,26,116,"14,456,750",124.62,125.00,137.50,112.50
2024-05-03,29061,高林一,議價,,,,,,,,,,,,
2024-05-03,30061,晶豪科一,等價,123.40,+1.90,122.50,125.00,122.45,96,320,"39,535,400",123.54,123.40,135.70,111.10
2024-05-03,30061,晶豪科一,議價,,,,,,,,,,,,
2024-05-03,30103,華立三,等價,149.45,+0.95,149.00,150.00,148.50,13,18,"2,684,850",149.15,149.45,164.00,134.55
2024-05-03,30103,華立三,議價,,,,,,,,,,,,
2024-05-03,30133,晟銘電三,等價,168.00,-4.00,166.00,168.00,166.00,4,19,"3,185,000",167.63,168.00,184.00,152.00
2024-05-03,30133,晟銘電三,議價,,,,,,,,,,,,
2024-05-03,30164,嘉晶四,等價,,,,,,,,,97.60,97.65,107.40,87.90
2024-05-03,30164,嘉晶四,議價,,,,,,,,,,,,
2024-05-03,30238,信邦八,等價,121.40,+1.45,122.70,122.70,120.55,13,31,"3,772,750",121.70,121.40,133.50,109.30
2024-05-03,30238,信邦八,議價,,,,,,,,,,,,
2024-05-03,30284,增你強四,等價,,,,,,,,,148.00,148.00,162.00,133.20
2024-05-03,30284,增你強四,議價,,,,,,,,,,,,
2024-05-03,30336,威健六,等價,128.75,-0.10,128.80,128.80,126.50,45,113,"14,413,950",127.55,128.75,141.60,115.90
2024-05-03,30336,威健六,議價,,,,,,,,,,,,
2024-05-03,30425,晶技五,等價,105.00,+0.15,104.55,105.30,104.55,25,63,"6,616,800",105.02,105.00,115.50,94.50
2024-05-03,30425,晶技五,議價,,,,,,,,,,,,
2024-05-03,30477,訊舟七,等價,,,,,,,,,121.50,120.00,132.00,108.00
2024-05-03,30477,訊舟七,議價,,,,,,,,,,,,
2024-05-03,30882,艾訊二,等價,,,,,,,,,115.47,115.50,127.05,103.95
2024-05-03,30882,艾訊二,議價,,,,,,,,,,,,
2024-05-03,30922,鴻碩二,等價,102.65,-1.20,103.05,103.05,102.55,9,12,"1,233,950",102.82,102.65,112.90,92.40
2024-05-03,30922,鴻碩二,議價,,,,,,,,,,,,
2024-05-03,31221,笙泉一,等價,106.00,-1.70,107.00,107.00,105.80,9,28,"2,970,500",106.08,106.00,116.60,95.40
2024-05-03,31221,笙泉一,議價,,,,,,,,,,,,
2024-05-03,31222,笙泉二,等價,111.10,+10.10,111.10,111.10,111.10,12,45,"4,999,500",111.10,111.10,122.20,100.00
2024-05-03,31222,笙泉二,議價,,,,,,,,,,,,
2024-05-03,31282,昇銳二,等價,97.55,+0.10,97.55,97.55,97.55,2,7,"682,850",97.55,97.55,107.30,87.80
2024-05-03,31282,昇銳二,議價,,,,,,,,,,,,
2024-05-03,31381,耀登一,等價,,,,,,,,,104.00,104.05,114.45,93.65
2024-05-03,31381,耀登一,議價,,,,,,,,,,,,
2024-05-03,31412,晶宏二,等價,,,,,,,,,98.20,98.25,108.05,88.45
2024-05-03,31412,晶宏二,議價,,,,,,,,,,,,
2024-05-03,31671,大量一,等價,107.00,+1.00,106.00,107.00,106.00,5,11,"1,168,000",106.18,107.00,117.70,96.30
2024-05-03,31671,大量一,議價,,,,,,,,,,,,
2024-05-03,32071,耀勝一,等價,149.30,+0.30,152.00,152.00,149.00,3,5,"754,300",150.86,149.30,164.00,134.40
2024-05-03,32071,耀勝一,議價,,,,,,,,,,,,
2024-05-03,32094,全科四,等價,,,,,,,,,117.00,117.55,129.30,105.80
2024-05-03,32094,全科四,議價,,,,,,,,,,,,
2024-05-03,32681,海德威一,等價,108.50,-0.35,108.55,108.55,108.50,3,6,"651,100",108.51,108.50,119.35,97.65
2024-05-03,32681,海德威一,議價,,,,,,,,,,,,
2024-05-03,32723,東碩三,等價,,,,,,,,,102.90,102.90,113.15,92.65
2024-05-03,32723,東碩三,議價,,,,,,,,,,,,
2024-05-03,32903,東浦三,等價,,,,,,,,,130.46,133.00,146.30,119.70
2024-05-03,32903,東浦三,議價,,,,,,,,,,,,
2024-05-03,33055,昇貿五,等價,113.50,,113.50,113.50,113.50,2,9,"1,021,500",113.50,113.50,124.85,102.15
2024-05-03,33055,昇貿五,議價,,,,,,,,,,,,
2024-05-03,33101,佳穎一,等價,,,,,,,,,422.00,449.00,493.00,405.00
2024-05-03,33101,佳穎一,議價,,,,,,,,,,,,
2024-05-03,33224,建舜電四,等價,,,,,,,,,111.00,112.00,123.20,100.80
2024-05-03,33224,建舜電四,議價,,,,,,,,,,,,
2024-05-03,33233,加百裕三,等價,,,,,,,,,102.59,102.25,112.45,92.05
2024-05-03,33233,加百裕三,議價,,,,,,,,,,,,
2024-05-03,33244,雙鴻四,等價,381.00,,381.00,381.00,381.00,1,46,"17,526,000",381.00,381.00,419.00,343.00
2024-05-03,33244,雙鴻四,議價,,,,,,,,,,,,
2024-05-03,33394,泰谷四,等價,,,,,,,,,194.33,195.00,214.00,176.00
2024-05-03,33394,泰谷四,議價,,,,,,,,,,,,
2024-05-03,33464,麗清四,等價,105.40,+0.20,105.40,105.40,105.40,1,3,"316,200",105.40,105.40,115.90,94.90
2024-05-03,33464,麗清四,議價,,,,,,,,,,,,
2024-05-03,33465,麗清五,等價,,,,,,,,,120.00,120.00,132.00,108.00
2024-05-03,33465,麗清五,議價,,,,,,,,,,,,
2024-05-03,33571,臺慶科一,等價,125.25,+1.75,124.00,127.00,124.00,46,118,"14,772,450",125.19,125.25,137.75,112.75
2024-05-03,33571,臺慶科一,議價,,,,,,,,,,,,
2024-05-03,33881,崇越電一,等價,116.45,+0.45,116.50,117.00,116.00,8,11,"1,279,900",116.35,116.45,128.05,104.85
2024-05-03,33881,崇越電一,議價,,,,,,,,,,,,
2024-05-03,34132,京鼎二,等價,173.00,+3.00,172.00,176.00,172.00,23,39,"6,753,000",173.15,173.00,190.00,156.00
2024-05-03,34132,京鼎二,議價,,,,,,,,,,,,
2024-05-03,34163,融程電三,等價,,,,,,,,,123.36,122.50,134.75,110.25
2024-05-03,34163,融程電三,議價,,,,,,,,,,,,
2024-05-03,34654,進泰電子四,等價,,,,,,,,,97.70,97.75,107.50,88.00
2024-05-03,34654,進泰電子四,議價,,,,,,,,,,,,
2024-05-03,34793,安勤三,等價,120.00,-1.00,121.00,121.00,120.00,4,21,"2,521,000",120.04,120.00,132.00,108.00
2024-05-03,34793,安勤三,議價,,,,,,,,,,,,
2024-05-03,34843,崧騰三,等價,120.70,+2.50,119.00,120.70,119.00,15,27,"3,240,050",120.00,120.70,132.75,108.65
2024-05-03,34843,崧騰三,議價,,,,,,,,,,,,
2024-05-03,35121,皇龍一,等價,,,,,,,,,99.60,99.60,109.55,89.65
2024-05-03,35121,皇龍一,議價,,,,,,,,,,,,
2024-05-03,35221,御頂一,等價,,,,,,,,,115.00,115.00,126.50,103.50
2024-05-03,35221,御頂一,議價,,,,,,,,,,,,
2024-05-03,35264,凡甲四,等價,,,,,,,,,263.00,311.00,342.00,280.00
2024-05-03,35264,凡甲四,議價,,,,,,,,,,,,
2024-05-03,35265,凡甲五,等價,128.60,+0.60,128.00,128.70,128.00,6,12,"1,539,950",128.32,128.60,141.45,115.75
2024-05-03,35265,凡甲五,議價,,,,,,,,,,,,
2024-05-03,35266,凡甲六,等價,118.40,-0.20,118.80,118.80,118.05,23,32,"3,784,650",118.27,118.40,130.20,106.60
2024-05-03,35266,凡甲六,議價,,,,,,,,,,,,
2024-05-03,35332,嘉澤二,等價,,,,,,,,,176.03,173.00,190.00,156.00
2024-05-03,35332,嘉澤二,議價,,,,,,,,,,,,
2024-05-03,35482,兆利二,等價,124.95,+0.55,125.00,125.00,124.00,26,67,"8,344,100",124.53,124.95,137.40,112.50
2024-05-03,35482,兆利二,議價,,,,,,,,,,,,
2024-05-03,35763,聯合再生三,等價,,,,,,,,,100.23,100.25,110.25,90.25
2024-05-03,35763,聯合再生三,議價,,,,,,,,,,,,
2024-05-03,35802,友威科二,等價,,,,,,,,,99.50,99.55,109.50,89.60
2024-05-03,35802,友威科二,議價,,,,,,,,,,,,
2024-05-03,35871,閎康一,等價,,,,,,,,,143.11,140.15,154.00,126.15
2024-05-03,35871,閎康一,議價,,,,,,,,,,,,
2024-05-03,35971,映興一,等價,,,,,,,,,100.32,100.55,110.60,90.50
2024-05-03,35971,映興一,議價,,,,,,,,,,,,
2024-05-03,36052,宏致二,等價,103.60,+0.05,103.60,103.60,103.60,1,1,"103,600",103.60,103.60,113.95,93.25
2024-05-03,36052,宏致二,議價,,,,,,,,,,,,
2024-05-03,36172,碩天二,等價,156.00,+13.00,143.50,157.00,143.00,129,228,"34,646,750",151.95,156.00,171.00,140.40
2024-05-03,36172,碩天二,議價,,,,,,,,,,,,
2024-05-03,36253,西勝三,等價,,,,,,,,,99.85,99.85,109.80,89.90
2024-05-03,36253,西勝三,議價,,,,,,,,,,,,
2024-05-03,36451,達邁一,等價,103.00,+0.35,103.60,103.65,103.00,4,10,"1,031,400",103.14,103.00,113.30,92.70
2024-05-03,36451,達邁一,議價,,,,,,,,,,,,
2024-05-03,36633,鑫科三,等價,,,,,,,,,152.00,152.00,167.00,136.80
2024-05-03,36633,鑫科三,議價,,,,,,,,,,,,
2024-05-03,36804,家登四,等價,126.00,,126.50,126.50,126.00,10,19,"2,394,750",126.03,126.00,138.60,113.40
2024-05-03,36804,家登四,議價,,,,,,,,,,,,
2024-05-03,36871,歐買尬一,等價,104.20,,104.20,104.20,104.20,3,7,"729,400",104.20,104.20,114.60,93.80
2024-05-03,36871,歐買尬一,議價,,,,,,,,,,,,
2024-05-03,36894,湧德四,等價,119.90,-0.10,121.00,121.00,119.90,5,5,"603,900",120.78,119.90,131.85,107.95
2024-05-03,36894,湧德四,議價,,,,,,,,,,,,
2024-05-03,37011,大眾控一,等價,,,,,,,,,366.00,366.00,402.00,330.00
2024-05-03,37011,大眾控一,議價,,,,,,,,,,,,
2024-05-03,37012,大眾控二,等價,,,,,,,,,109.00,109.00,119.90,98.10
2024-05-03,37012,大眾控二,議價,,,,,,,,,,,,
2024-05-03,37073,漢磊三,等價,107.20,-2.80,109.50,109.50,107.20,7,11,"1,202,200",109.29,107.20,117.90,96.50
2024-05-03,37073,漢磊三,議價,,,,,,,,,,,,
2024-05-03,37074,漢磊四,等價,106.50,-0.50,107.00,107.00,106.50,5,7,"748,000",106.85,106.50,117.15,95.85
2024-05-03,37074,漢磊四,議價,,,,,,,,,,,,
2024-05-03,37083,上緯投控三,等價,156.00,-5.00,161.00,162.00,156.00,28,57,"9,106,000",159.75,156.00,171.00,140.40
2024-05-03,37083,上緯投控三,議價,,,,,,,,,,,,
2024-05-03,37084,上緯投控四,等價,,,,,,,,,163.33,165.00,181.00,148.50
2024-05-03,37084,上緯投控四,議價,,,,,,,,,,,,
2024-05-03,37131,新晶投控一,等價,,,,,,,,,101.05,101.05,111.15,90.95
2024-05-03,37131,新晶投控一,議價,,,,,,,,,,,,
2024-05-03,41234,晟德四,等價,,,,,,,,,104.60,104.60,115.05,94.15
2024-05-03,41234,晟德四,議價,,,,,,,,,,,,
2024-05-03,41235,晟德五,等價,104.00,+0.10,105.00,105.00,104.00,2,11,"1,146,000",104.18,104.00,114.40,93.60
2024-05-03,41235,晟德五,議價,,,,,,,,,,,,
2024-05-03,41236,晟德六,等價,118.30,-0.65,118.50,118.50,118.30,10,25,"2,961,550",118.46,118.30,130.10,106.50
2024-05-03,41236,晟德六,議價,,,,,,,,,,,,
2024-05-03,41237,晟德七,等價,108.95,-0.75,109.70,110.00,108.95,25,57,"6,236,050",109.40,108.95,119.80,98.10
2024-05-03,41237,晟德七,議價,,,,,,,,,,,,
2024-05-03,41481,全宇生技一KY,等價,,,,,,,,,100.60,100.60,110.65,90.55
2024-05-03,41481,全宇生技一KY,議價,,,,,,,,,,,,
2024-05-03,41552,訊映二,等價,,,,,,,,,135.01,142.00,156.00,127.80
