資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2024-11-26,13164,上曜四,等價,116.00,-4.00,119.05,119.05,116.00,3,11,"1,306,250",118.75,116.00,127.60,104.40
2024-11-26,13164,上曜四,議價,,,,,,,,,,,,
2024-11-26,13382,廣華二KY,等價,97.60,-0.85,97.15,97.60,97.15,2,2,"194,750",97.37,97.60,107.35,87.85
2024-11-26,13382,廣華二KY,議價,,,,,,,,,,,,
2024-11-26,13421,八貫一,等價,,,,,,,,,169.00,172.00,189.00,155.00
2024-11-26,13421,八貫一,議價,,,,,,,,,,,,
2024-11-26,140201,遠東新E1永,等價,105.80,-0.70,105.50,105.80,104.00,17,72,"7,550,600",104.86,105.80,116.35,95.25
2024-11-26,140201,遠東新E1永,議價,,,,,,,,,,,,
2024-11-26,140202,遠東新E2永,等價,97.80,-0.95,97.85,97.85,97.80,4,28,"2,738,500",97.80,97.80,107.55,88.05
2024-11-26,140202,遠東新E2永,議價,,,,,,,,,,,,
2024-11-26,14362,華友聯二,等價,,,,,,,,,446.00,450.00,495.00,405.00
2024-11-26,14362,華友聯二,議價,,,,,,,,,,,,
2024-11-26,14363,華友聯三,等價,98.05,-0.85,98.00,98.05,98.00,2,51,"5,000,500",98.04,98.05,107.85,88.25
2024-11-26,14363,華友聯三,議價,,,,,,,,,,,,
2024-11-26,14742,弘裕二,等價,,,,,,,,,105.55,105.00,115.50,94.50
2024-11-26,14742,弘裕二,議價,,,,,,,,,,,,
2024-11-26,15141,亞力一,等價,,,,,,,,,176.00,181.00,199.00,163.00
2024-11-26,15141,亞力一,議價,,,,,,,,,,,,
2024-11-26,15261,日馳一,等價,95.50,-0.10,95.60,95.60,95.50,2,6,"573,500",95.58,95.50,105.05,85.95
2024-11-26,15261,日馳一,議價,,,,,,,,,,,,
2024-11-26,15324,勤美四,等價,114.50,+0.10,114.50,114.50,114.50,3,5,"572,500",114.50,114.50,125.95,103.05
2024-11-26,15324,勤美四,議價,,,,,,,,,,,,
2024-11-26,15332,車王電二,等價,,,,,,,,,99.45,99.45,109.35,89.55
2024-11-26,15332,車王電二,議價,,,,,,,,,,,,
2024-11-26,15364,和大四,等價,111.65,+3.75,109.40,111.80,109.40,84,228,"25,244,050",110.71,111.65,122.80,100.50
2024-11-26,15364,和大四,議價,,,,,,,,,,,,
2024-11-26,15601,中砂一,等價,117.90,-1.10,119.00,119.00,117.00,34,123,"14,437,000",117.37,117.90,129.65,106.15
2024-11-26,15601,中砂一,議價,,,,,,,,,,,,
2024-11-26,15864,和勤四,等價,112.00,+2.70,112.00,112.00,112.00,1,5,"560,000",112.00,112.00,123.20,100.80
2024-11-26,15864,和勤四,議價,,,,,,,,,,,,
2024-11-26,15865,和勤五,等價,,,,,,,,,101.55,101.55,111.70,91.40
2024-11-26,15865,和勤五,議價,,,,,,,,,,,,
2024-11-26,15893,永冠三KY,等價,,,,,,,,,96.20,96.30,105.90,86.70
2024-11-26,15893,永冠三KY,議價,,,,,,,,,,,,
2024-11-26,15894,永冠四KY,等價,,,,,,,,,94.08,94.40,103.80,85.00
2024-11-26,15894,永冠四KY,議價,,,,,,,,,,,,
2024-11-26,15952,川寶二,等價,,,,,,,,,130.96,130.05,143.05,117.05
2024-11-26,15952,川寶二,議價,,,,,,,,,,,,
2024-11-26,15991,宏佳騰一,等價,,,,,,,,,102.46,102.45,112.65,92.25
2024-11-26,15991,宏佳騰一,議價,,,,,,,,,,,,
2024-11-26,16095,大亞五,等價,106.00,+0.75,105.50,106.00,105.35,10,38,"4,011,500",105.56,106.00,116.60,95.40
2024-11-26,16095,大亞五,議價,,,,,,,,,,,,
2024-11-26,17271,中華化一,等價,123.50,+4.10,123.50,123.50,123.50,4,9,"1,111,500",123.50,123.50,135.85,111.15
2024-11-26,17271,中華化一,議價,,,,,,,,,,,,
2024-11-26,17813,合世三,等價,111.00,-1.00,112.00,112.00,111.00,11,50,"5,570,800",111.41,111.00,122.10,99.90
2024-11-26,17813,合世三,議價,,,,,,,,,,,,
2024-11-26,17862,科妍二,等價,,,,,,,,,285.55,259.00,284.00,234.00
2024-11-26,17862,科妍二,議價,,,,,,,,,,,,
2024-11-26,18156,富喬六,等價,208.00,+7.00,205.00,213.00,205.00,10,35,"7,302,000",208.62,208.00,228.00,188.00
2024-11-26,18156,富喬六,議價,,,,,,,,,,,,
2024-11-26,19094,榮成四,等價,100.30,-0.05,100.40,100.40,100.30,7,9,"903,050",100.33,100.30,110.30,90.30
2024-11-26,19094,榮成四,議價,,,,,,,,,,,,
2024-11-26,20121,春雨一,等價,102.20,+0.20,102.25,102.25,102.20,6,22,"2,248,450",102.20,102.20,112.40,92.00
2024-11-26,20121,春雨一,議價,,,,,,,,,,,,
2024-11-26,20122,春雨二,等價,102.25,+0.25,101.90,102.25,101.90,7,10,"1,020,400",102.04,102.25,112.45,92.05
2024-11-26,20122,春雨二,議價,,,,,,,,,,,,
2024-11-26,20123,春雨三,等價,102.25,+0.15,102.20,102.25,101.10,3,16,"1,624,250",101.51,102.25,112.45,92.05
2024-11-26,20123,春雨三,議價,,,,,,,,,,,,
2024-11-26,20343,允強三,等價,,,,,,,,,108.00,107.55,118.30,96.80
2024-11-26,20343,允強三,議價,,,,,,,,,,,,
2024-11-26,20344,允強四,等價,104.00,+0.15,104.00,104.00,104.00,1,5,"520,000",104.00,104.00,114.40,93.60
2024-11-26,20344,允強四,議價,,,,,,,,,,,,
2024-11-26,20612,風青二,等價,102.00,-0.60,102.00,102.00,102.00,1,20,"2,040,000",102.00,102.00,112.20,91.80
2024-11-26,20612,風青二,議價,,,,,,,,,,,,
2024-11-26,20632,世鎧二,等價,,,,,,,,,100.50,100.50,110.55,90.45
2024-11-26,20632,世鎧二,議價,,,,,,,,,,,,
2024-11-26,20652,世豐二,等價,,,,,,,,,104.16,104.05,114.45,93.65
2024-11-26,20652,世豐二,議價,,,,,,,,,,,,
2024-11-26,20662,世德二,等價,118.95,,118.95,118.95,118.95,1,10,"1,189,500",118.95,118.95,130.80,107.10
2024-11-26,20662,世德二,議價,,,,,,,,,,,,
2024-11-26,21043,國際中橡三,等價,99.20,-0.60,99.30,99.50,99.20,5,37,"3,671,350",99.22,99.20,109.10,89.30
2024-11-26,21043,國際中橡三,議價,,,,,,,,,,,,
2024-11-26,22013,裕隆三,等價,102.20,-0.10,102.00,102.20,102.00,3,4,"408,200",102.05,102.20,112.40,92.00
2024-11-26,22013,裕隆三,議價,,,,,,,,,,,,
2024-11-26,22081,台船一,等價,,,,,,,,,100.18,100.10,110.10,90.10
2024-11-26,22081,台船一,議價,,,,,,,,,,,,
2024-11-26,22283,劍麟三,等價,117.55,-1.20,117.10,118.00,117.10,10,34,"3,985,800",117.22,117.55,129.30,105.80
2024-11-26,22283,劍麟三,議價,,,,,,,,,,,,
2024-11-26,22304,泰茂四,等價,,,,,,,,,466.44,668.00,734.00,602.00
2024-11-26,22304,泰茂四,議價,,,,,,,,,,,,
2024-11-26,22313,為升三,等價,102.50,-0.80,102.50,102.50,102.50,1,2,"205,000",102.50,102.50,112.75,92.25
2024-11-26,22313,為升三,議價,,,,,,,,,,,,
2024-11-26,22362,百達二KY,等價,,,,,,,,,179.91,180.00,198.00,162.00
2024-11-26,22362,百達二KY,議價,,,,,,,,,,,,
2024-11-26,22501,IKKA一KY,等價,,,,,,,,,118.30,115.55,127.10,104.00
2024-11-26,22501,IKKA一KY,議價,,,,,,,,,,,,
2024-11-26,23383,光罩三,等價,96.70,+0.05,96.65,96.75,96.65,9,33,"3,189,700",96.65,96.70,106.35,87.05
2024-11-26,23383,光罩三,議價,,,,,,,,,,,,
2024-11-26,23682,金像電二,等價,111.95,-0.05,112.45,112.50,110.60,15,41,"4,570,400",111.47,111.95,123.10,100.80
2024-11-26,23682,金像電二,議價,,,,,,,,,,,,
2024-11-26,23835,台光電五,等價,196.00,-6.00,196.00,196.00,196.00,2,6,"1,176,000",196.00,196.00,215.00,177.00
2024-11-26,23835,台光電五,議價,,,,,,,,,,,,
2024-11-26,23836,台光電六,等價,103.60,-0.10,103.80,103.80,103.25,30,195,"20,188,850",103.53,103.60,113.95,93.25
2024-11-26,23836,台光電六,議價,,,,,,,,,,,,
2024-11-26,23837,台光電七,等價,114.20,-0.80,114.10,114.20,113.85,17,34,"3,874,900",113.96,114.20,125.60,102.80
2024-11-26,23837,台光電七,議價,,,,,,,,,,,,
2024-11-26,24271,三商電一,等價,,,,,,,,,102.99,103.00,113.30,92.70
2024-11-26,24271,三商電一,議價,,,,,,,,,,,,
2024-11-26,24361,偉詮電一,等價,,,,,,,,,107.23,107.40,118.10,96.70
2024-11-26,24361,偉詮電一,議價,,,,,,,,,,,,
2024-11-26,24394,美律四,等價,106.00,-0.10,106.00,106.00,106.00,4,25,"2,650,000",106.00,106.00,116.60,95.40
2024-11-26,24394,美律四,議價,,,,,,,,,,,,
2024-11-26,24395,美律五,等價,,,,,,,,,106.50,106.50,117.15,95.85
2024-11-26,24395,美律五,議價,,,,,,,,,,,,
2024-11-26,24616,光群雷六,等價,,,,,,,,,149.00,149.00,163.00,134.10
2024-11-26,24616,光群雷六,議價,,,,,,,,,,,,
2024-11-26,24624,良得電四,等價,,,,,,,,,105.20,105.15,115.65,94.65
2024-11-26,24624,良得電四,議價,,,,,,,,,,,,
2024-11-26,24642,盟立二,等價,110.95,,110.00,111.95,110.00,7,32,"3,545,900",110.80,110.95,122.00,99.90
2024-11-26,24642,盟立二,議價,,,,,,,,,,,,
2024-11-26,24762,鉅祥二,等價,134.00,+2.20,134.00,134.00,134.00,1,1,"134,000",134.00,134.00,147.40,120.60
2024-11-26,24762,鉅祥二,議價,,,,,,,,,,,,
2024-11-26,24866,一詮六,等價,119.90,,119.90,119.90,119.90,2,5,"599,500",119.90,119.90,131.85,107.95
2024-11-26,24866,一詮六,議價,,,,,,,,,,,,
2024-11-26,24972,怡利電二,等價,,,,,,,,,106.50,106.50,117.15,95.85
2024-11-26,24972,怡利電二,議價,,,,,,,,,,,,
2024-11-26,25483,華固三,等價,102.00,-0.10,102.00,102.00,101.90,5,55,"5,608,600",101.97,102.00,112.20,91.80
2024-11-26,25483,華固三,議價,,,,,,,,,,,,
2024-11-26,25484,華固四,等價,102.30,-0.40,102.30,102.60,102.30,10,44,"4,502,700",102.33,102.30,112.50,92.10
2024-11-26,25484,華固四,議價,,,,,,,,,,,,
2024-11-26,26107,華航七,等價,142.50,+0.80,141.90,144.00,141.70,59,202,"28,742,850",142.29,142.50,156.00,128.25
2024-11-26,26107,華航七,議價,,,,,,,,,,,,
2024-11-26,26415,正德五,等價,114.90,-0.10,114.90,114.90,114.90,1,3,"344,700",114.90,114.90,126.35,103.45
2024-11-26,26415,正德五,議價,,,,,,,,,,,,
2024-11-26,26416,正德六,等價,,,,,,,,,126.45,125.50,138.05,112.95
2024-11-26,26416,正德六,議價,,,,,,,,,,,,
2024-11-26,26417,正德七,等價,103.50,-0.05,103.50,103.50,103.50,4,21,"2,173,500",103.50,103.50,113.85,93.15
2024-11-26,26417,正德七,議價,,,,,,,,,,,,
2024-11-26,27271,王品一,等價,108.20,+0.25,108.00,108.90,108.00,38,294,"31,785,750",108.11,108.20,119.00,97.40
2024-11-26,27271,王品一,議價,,,,,,,,,,,,
2024-11-26,27323,六角三,等價,,,,,,,,,115.05,115.90,127.45,104.35
2024-11-26,27323,六角三,議價,,,,,,,,,,,,
2024-11-26,27561,聯發國際一,等價,,,,,,,,,113.90,111.80,122.95,100.65
2024-11-26,27561,聯發國際一,議價,,,,,,,,,,,,
2024-11-26,288701,台新金E1,等價,102.25,-0.60,102.25,102.25,102.25,1,10,"1,022,500",102.25,102.25,112.45,92.05
2024-11-26,288701,台新金E1,議價,,,,,,,,,,,,
2024-11-26,28887,新光金六,等價,,,,,,,,,129.50,130.30,143.30,117.30
2024-11-26,28887,新光金六,議價,,,,,,,,,,,,
2024-11-26,29051,三商一,等價,,,,,,,,,105.00,104.95,115.40,94.50
2024-11-26,29051,三商一,議價,,,,,,,,,,,,
2024-11-26,29061,高林一,等價,106.00,+0.45,105.50,106.00,105.50,11,34,"3,602,100",105.94,106.00,116.60,95.40
2024-11-26,29061,高林一,議價,,,,,,,,,,,,
2024-11-26,30061,晶豪科一,等價,102.75,+0.15,102.75,102.75,102.60,8,13,"1,334,450",102.65,102.75,113.00,92.50
2024-11-26,30061,晶豪科一,議價,,,,,,,,,,,,
2024-11-26,30134,晟銘電四,等價,127.00,-0.30,125.30,127.00,125.30,25,77,"9,752,300",126.65,127.00,139.70,114.30
2024-11-26,30134,晟銘電四,議價,,,,,,,,,,,,
2024-11-26,30164,嘉晶四,等價,,,,,,,,,98.40,98.45,108.25,88.65
2024-11-26,30164,嘉晶四,議價,,,,,,,,,,,,
2024-11-26,30165,嘉晶五,等價,102.50,-0.30,101.50,102.80,101.50,4,67,"6,851,800",102.26,102.50,112.75,92.25
2024-11-26,30165,嘉晶五,議價,,,,,,,,,,,,
2024-11-26,30238,信邦八,等價,108.40,-1.60,108.20,109.00,108.20,7,17,"1,848,900",108.75,108.40,119.20,97.60
2024-11-26,30238,信邦八,議價,,,,,,,,,,,,
2024-11-26,30336,威健六,等價,133.15,+0.75,133.15,133.15,133.15,1,1,"133,150",133.15,133.15,146.45,119.85
2024-11-26,30336,威健六,議價,,,,,,,,,,,,
2024-11-26,30337,威健七,等價,107.90,-0.10,108.50,108.50,107.90,10,111,"11,986,500",107.98,107.90,118.65,97.15
2024-11-26,30337,威健七,議價,,,,,,,,,,,,
2024-11-26,30882,艾訊二,等價,,,,,,,,,119.31,119.40,131.30,107.50
2024-11-26,30882,艾訊二,議價,,,,,,,,,,,,
2024-11-26,30922,鴻碩二,等價,,,,,,,,,101.11,101.10,111.20,91.00
2024-11-26,30922,鴻碩二,議價,,,,,,,,,,,,
2024-11-26,31222,笙泉二,等價,,,,,,,,,100.13,98.95,108.80,89.10
2024-11-26,31222,笙泉二,議價,,,,,,,,,,,,
2024-11-26,31282,昇銳二,等價,,,,,,,,,98.10,98.10,107.90,88.30
2024-11-26,31282,昇銳二,議價,,,,,,,,,,,,
